Judul yang Diuji,Run_01_ms,Run_02_ms,Run_03_ms,Run_04_ms,Run_05_ms,Run_06_ms,Run_07_ms,Run_08_ms,Run_09_ms,Run_10_ms,Run_11_ms,Run_12_ms,Run_13_ms,Run_14_ms,Run_15_ms,Run_16_ms,Run_17_ms,Run_18_ms,Run_19_ms,Run_20_ms,Run_21_ms,Run_22_ms,Run_23_ms,Run_24_ms,Run_25_ms,Run_26_ms,Run_27_ms,Run_28_ms,Run_29_ms,Run_30_ms,Rata_rata_ms
Don't Eat Your Heart Out Cookbook,2.0096,2.0764,1.4633,1.4537,1.3903,1.8322,1.6474,1.4112,1.3972,1.4141,1.3935,1.391,1.3936,1.4151,1.3947,1.4156,1.4036,1.7583,1.6958,1.3557,1.3199,1.3697,1.3387,1.3136,1.3249,1.3245,1.3932,1.3206,1.5755,1.4036,1.479883
Journey Through Heartsongs,1.7986,1.7916,1.7939,1.79,1.7898,1.895,1.9074,1.7331,1.7124,1.9057,1.7284,1.713,1.7396,1.8475,2.0469,1.8127,1.8103,1.7887,1.7866,1.8006,1.7895,1.7942,2.1539,1.8024,1.7208,1.7144,2.4196,2.8182,2.7332,2.1483,1.909543
In Search of Melancholy Baby,1.032,1.2769,0.8994,0.8961,0.9095,0.8803,0.9642,0.9199,0.8872,0.8855,0.886,0.8811,1.2115,1.042,0.9454,0.9348,0.9275,0.9256,0.9276,0.9505,0.9604,0.931,0.9242,0.9203,0.9205,1.0038,1.0221,0.8883,1.1182,0.8886,0.95868
The Genesis of Ethics,1.3878,1.1953,1.1922,1.3054,1.9377,1.2032,1.1975,1.1909,1.1926,1.2259,1.2554,1.2043,1.211,1.1865,1.2303,1.1622,1.147,1.1368,1.1427,1.1614,1.853,1.9498,1.2183,1.1405,1.2018,1.1356,1.1821,1.1576,1.1622,1.7427,1.28699
All over but the Shoutin',1.483,1.4914,1.8628,1.6143,1.5898,1.5764,0.9107,0.8765,0.8681,0.8688,0.8774,0.9328,1.0854,0.9116,0.9111,0.9845,0.9497,0.9136,1.0803,0.89,0.8784,0.9249,0.8696,0.8673,0.8671,1.1226,0.9163,0.9152,0.9102,0.9049,1.061823
Oilers and Sweepers and Other Stories,1.8588,1.6228,2.0746,1.5625,1.4871,1.5121,1.691,1.5786,1.4824,1.8194,1.6412,1.5061,2.1486,1.9611,1.5184,1.4944,1.4934,1.7307,1.7299,1.5532,1.4989,1.6462,1.4849,1.4849,1.7436,1.63,1.4802,1.4988,1.5415,2.1432,1.65395
The Emperor's New Mind,1.3102,1.3121,1.3133,1.3084,1.314,1.3124,1.5113,1.352,1.316,1.4502,1.3626,1.5011,1.4917,1.3882,1.313,1.834,1.3939,1.6222,1.3221,1.8474,1.5523,1.3613,1.3036,1.6334,1.3125,1.3503,1.2984,1.4279,1.335,1.295,1.41486
Touching Fire: Erotic Writings by Women,2.1792,1.958,1.9518,1.9561,1.939,1.952,1.9557,2.0504,1.9571,2.3906,2.1028,2.0455,2.3631,1.9919,2.4788,1.9963,2.0734,2.2309,1.9458,1.9451,2.0002,2.0713,1.9389,2.0475,2.1039,1.977,2.2513,1.9634,1.9616,2.5296,2.07694
Hill Rat: Blowing the Lid Off Congress,1.1841,1.1584,1.2225,1.1672,1.1864,1.1716,1.2058,1.2528,1.1816,1.1013,1.4381,1.5276,1.7002,1.4484,1.1714,1.2256,1.5557,1.9247,1.9217,1.9432,1.5569,1.235,1.1976,1.1771,1.4712,1.1267,1.1187,1.1223,1.1062,1.6404,1.348013
Personality of the Cat,2.5847,2.5435,2.5113,2.5662,2.4143,2.5593,2.8075,2.5177,2.555,2.4056,2.5811,2.4114,2.7154,2.5902,2.4962,2.5558,2.5342,2.5307,3.0486,2.7413,3.3498,2.8316,2.3846,2.3777,2.5925,2.4032,2.4633,2.3933,2.3811,2.4643,2.577047
