Judul yang Diuji,Run_01_ms,Run_02_ms,Run_03_ms,Run_04_ms,Run_05_ms,Run_06_ms,Run_07_ms,Run_08_ms,Run_09_ms,Run_10_ms,Run_11_ms,Run_12_ms,Run_13_ms,Run_14_ms,Run_15_ms,Run_16_ms,Run_17_ms,Run_18_ms,Run_19_ms,Run_20_ms,Run_21_ms,Run_22_ms,Run_23_ms,Run_24_ms,Run_25_ms,Run_26_ms,Run_27_ms,Run_28_ms,Run_29_ms,Run_30_ms,Rata_rata_ms
Don't Eat Your Heart Out Cookbook,4.4536,4.0387,4.281,3.6997,3.828,3.8551,3.6864,3.7285,3.7277,3.956,3.8728,3.6659,3.947,3.808,3.5521,4.2293,3.9507,3.8558,3.964,3.7561,4.1491,3.9545,3.6944,3.8832,4.0295,3.7072,3.7523,3.7818,3.6538,3.8269,3.876303
Journey Through Heartsongs,5.03,5.1327,4.6674,4.761,4.7289,4.6347,4.5799,4.4724,4.8374,4.8974,4.6144,4.6011,4.7582,4.8863,4.638,4.7164,4.5879,4.6174,5.162,4.6943,4.4508,4.5689,4.7621,5.0938,4.7995,4.377,4.8072,4.7417,4.7196,4.3994,4.724593
In Search of Melancholy Baby,2.0345,2.3359,1.9992,1.9916,2.2585,2.1085,2.0507,2.2139,2.0094,3.1556,2.4488,2.0645,2.7576,2.0232,1.9977,2.331,2.0872,2.3855,2.2016,2.0902,2.1291,2.0841,2.0914,2.1708,1.9932,2.0468,2.0557,1.975,2.0498,2.1065,2.174917
The Genesis of Ethics,2.8768,4.073,3.6975,2.9951,3.2146,2.88,3.0746,2.8674,2.8565,2.8473,3.1098,2.8762,2.9005,2.8384,3.1181,2.8884,2.9659,2.8387,2.8871,2.8773,3.2104,2.8352,2.92,2.9325,3.2142,2.9815,2.8529,2.8334,2.9976,2.8433,3.01014
All over but the Shoutin',3.1458,3.2547,3.1024,3.7134,3.2153,3.3633,3.1873,3.2612,3.3237,2.9764,3.6431,3.0179,3.1198,2.9807,3.4126,3.1497,3.3924,3.4122,2.9598,3.1692,3.1785,3.2674,2.9727,3.0647,3.0243,3.2495,3.2106,3.1325,3.1108,3.1227,3.204487
Oilers and Sweepers and Other Stories,3.6091,3.5583,3.2847,3.6224,4.2443,3.4455,3.567,3.2993,4.5478,4.9952,3.463,3.6812,3.6333,3.2803,4.1266,3.3262,3.5357,3.5387,3.4555,3.5792,3.3565,3.57,3.2375,3.8158,3.5808,3.2803,3.6741,3.4442,3.4674,3.2764,3.616543
The Emperor's New Mind,2.4012,3.6508,2.4711,2.726,2.3949,2.6209,2.365,2.47,2.5894,2.4465,2.5971,2.3625,2.6791,2.4338,2.3563,2.6306,2.3476,2.6158,2.3589,2.3432,2.7899,2.5311,2.5934,2.3771,2.52,2.3732,2.3565,3.2119,3.6715,2.6045,2.596327
Touching Fire: Erotic Writings by Women,2.5665,2.5417,2.6123,2.376,2.3775,2.5155,2.3269,2.6569,2.5031,2.4123,2.6388,2.3758,2.5411,2.5009,2.5522,2.4867,2.4477,2.6229,2.355,2.4614,2.3273,2.4411,2.9097,2.3524,2.6293,2.4345,2.4494,3.1995,2.3751,2.7829,2.525747
Hill Rat: Blowing the Lid Off Congress,4.0542,4.6515,4.1779,3.8781,4.0035,4.0424,4.0762,4.0041,3.8065,3.7019,4.299,4.0265,3.969,4.0946,4.4226,4.0005,5.8759,4.174,4.4758,4.2732,3.8727,4.0232,4.0883,3.9227,4.0019,3.9193,4.6126,4.0147,4.031,4.1053,4.153303
Personality of the Cat,2.1289,2.1162,2.2505,2.1153,2.1006,2.4661,2.1016,2.1548,2.1081,2.0904,2.3349,2.0415,2.0156,2.3445,2.0429,2.0129,2.2432,2.1341,2.3469,2.5853,2.1987,3.1663,2.225,2.0213,2.4147,2.1308,2.2654,2.0524,2.0218,2.2169,2.21492
Best New American Voices 2003,1.4383,1.6359,1.4399,1.4128,1.4157,1.9375,1.4327,1.3594,1.3524,1.4708,1.9483,1.4899,1.3623,1.6436,1.368,1.3701,1.3604,1.6617,1.4998,1.3494,1.3635,1.523,1.4711,1.3789,1.3628,1.3438,1.4836,1.3622,1.358,1.3542,1.465
Jackie by Josie: A Novel,2.6146,2.8567,2.5028,2.67,2.53,2.4746,2.9121,2.5621,2.6518,2.5078,2.9137,2.6375,2.5606,2.6369,2.5111,2.8147,2.5842,3.0028,2.6127,2.9394,2.662,3.1134,2.5411,2.4674,2.7026,2.6985,2.7115,2.5107,2.7058,2.542,2.671703
Majorca: Culture and Life,3.1412,2.6399,2.1042,2.0948,2.5049,2.2331,2.364,2.2014,2.1935,2.2662,2.0977,2.0819,2.341,2.2089,2.2039,2.2934,2.104,2.2126,2.1112,2.1122,2.5316,2.2222,2.5201,2.5742,2.2207,2.2472,2.2071,2.1971,2.4537,2.1162,2.293337
The Universe of Galaxies,3.7559,3.8437,3.7271,3.5585,3.7279,3.516,4.0692,4.2751,3.6092,3.6189,3.7257,3.7282,3.8526,3.9605,3.5901,3.8345,3.696,4.8919,4.2143,3.851,3.7943,3.7404,3.7262,4.0678,3.7992,3.5573,3.7291,3.8933,3.806,3.8916,3.83505
Healing Benefits of Garlic,3.109,3.2942,3.0526,3.031,2.9463,3.1547,3.4702,3.2699,2.9232,3.2363,3.0519,3.2451,3.1564,3.2531,2.9099,3.0617,2.9502,3.2216,3.0913,3.9612,6.2796,5.1124,5.5349,5.558,5.3034,3.6258,3.937,3.4636,3.9598,3.431,3.653177
George Meany And His Times: A Biography,4.3947,4.4624,4.1528,4.0446,4.0928,4.0708,4.0947,4.2313,4.1881,4.1716,4.2599,4.5243,3.9059,4.3733,4.2437,3.8903,4.0615,4.418,3.9238,4.049,3.8802,3.8223,4.3229,4.0188,3.9082,4.1814,4.125,3.8787,4.3589,4.1863,4.141207
American Dreams: Lost & Found,3.133,2.4797,2.7581,2.6105,2.9742,2.471,2.7931,2.4822,2.4975,2.9031,2.466,2.7594,2.446,2.6297,2.537,2.7544,2.728,2.4301,2.7936,2.4713,2.7285,2.7296,2.8368,2.5078,2.4416,2.7652,2.4673,2.737,2.4687,2.9888,2.65964
"Love, Love, and Love",2.375,2.8212,2.4136,2.7159,2.3882,2.8573,2.421,2.5664,2.977,2.4097,2.6886,2.322,2.5464,2.4074,2.4593,2.6357,2.3672,2.4847,2.3618,2.3717,2.7594,2.3711,2.6734,2.4072,2.6715,2.5951,2.4067,2.6845,2.456,2.8917,2.550223
Henry VIII (English Monarchs Series),3.8627,3.6617,3.4722,3.8867,3.4449,3.5326,3.8724,3.4948,3.5689,3.3649,4.334,4.0209,3.5059,3.8837,3.8559,3.4313,4.0429,5.8071,5.8415,6.3136,5.8395,3.7341,3.9044,5.5478,3.9259,3.4637,3.3968,3.3593,3.458,3.5222,4.04501
The Moral Intelligence of Children,3.5517,3.5535,3.5465,3.5795,3.5799,3.6191,3.59,3.5363,3.5394,3.5733,3.5878,3.6421,3.7902,4.2527,3.8019,3.8405,3.5641,3.6311,3.4826,3.4218,3.6269,3.7103,3.9869,3.702,3.3862,3.647,3.267,3.4622,4.5525,3.5138,3.651293
Cook Healthy: Cook Quick,2.0373,1.9924,3.1934,2.1326,2.2921,2.107,2.067,2.1728,2.3405,2.1973,2.3517,2.0856,2.0999,2.0918,2.0765,2.2307,2.0803,2.1919,2.3245,2.1154,2.0903,2.1303,2.1075,2.0944,2.1363,2.0635,2.1004,2.4397,2.1429,2.2467,2.19109
Sunset at Rosalie: A Novel,2.5422,2.9094,2.6219,2.8738,2.6317,2.6325,2.5769,2.7991,2.5972,2.5989,2.7676,2.5914,2.5787,2.5772,2.6912,2.6744,3.1663,2.5933,2.7872,2.6066,2.6025,2.869,2.8023,3.1413,3.0661,2.7877,2.4722,2.7771,2.7027,2.9084,2.73156
Proverbs For The People,3.0291,2.8205,3.4117,2.7821,2.9389,2.7642,3.041,2.7677,3.1598,3.3168,3.0019,2.773,2.9995,2.903,3.0537,2.8531,3.0077,2.8972,3.0812,3.7183,3.4002,3.0092,2.926,2.7862,3.2141,2.7577,3.0006,2.8098,3.1672,2.892,3.009447
Great American Countryside,5.5142,5.1288,5.941,4.9491,5.0697,5.1763,5.9147,5.0348,5.0407,4.9452,4.9796,5.1822,5.1349,4.9955,5.2137,4.9921,4.8381,5.076,5.3513,5.2919,4.9094,5.256,5.1294,4.7909,5.0065,5.1089,5.3489,5.2433,5.1625,5.162,5.16292
Rob Whitlock: A Pioneer Boy in Old Ohio,2.2381,2.3304,2.1013,2.3277,2.1317,2.1105,2.1581,2.1184,2.1401,2.194,2.107,2.0861,2.1906,2.1021,2.3679,2.2501,2.1042,2.127,2.0996,2.0912,2.1531,2.1337,2.0934,2.2381,2.1277,2.2033,2.2785,2.239,2.2736,2.137,2.175117
British Hospitals (Britain in Pictures),3.9823,3.7081,3.6175,3.5419,3.7323,3.6563,3.6245,3.6026,3.9458,3.6796,3.5981,3.7684,3.6671,3.6786,3.7025,3.7491,3.8242,3.7869,3.5965,3.7189,3.4628,3.6144,3.657,4.5067,4.2674,3.8131,3.4594,3.7139,4.0863,3.7025,3.748823
The Practical Stylist,2.9255,3.5689,3.0415,3.3788,2.937,3.3416,3.1665,3.0464,3.1009,2.8609,2.9965,3.1654,3.3447,2.9871,3.2343,2.9046,3.0384,2.9367,3.0408,3.0729,3.1593,2.9372,3.1827,3.0519,2.9946,2.9566,3.2518,2.9871,3.0634,2.9028,3.085893
Civilization III: Instruction Manual,2.9869,3.2416,3.0791,3.2711,3.0774,3.4399,2.9721,3.1705,3.0568,3.3816,3.2294,3.1258,3.3175,3.214,3.5544,3.1725,3.555,3.079,3.2099,3.0802,3.3444,2.996,3.4806,2.9604,3.1418,2.9554,3.2584,3.1477,3.062,3.2987,3.195337
Elvis in the Morning,4.0983,4.1285,3.5268,3.4691,3.3032,3.7322,3.3005,3.5258,3.5396,3.6811,3.9294,3.3214,3.597,4.0072,3.4787,3.6191,3.3442,3.6657,3.7085,3.3516,3.622,3.3301,3.9088,3.5986,3.4426,3.462,4.0134,3.7693,3.7758,3.4471,3.623253
Future Space: Beyond Earth,3.1358,3.2765,3.0697,3.3464,3.2232,3.2014,3.1432,3.2388,3.247,3.2449,3.4384,3.1255,3.1958,3.1871,3.4643,3.0612,3.1984,4.5402,3.605,3.4016,3.5519,3.6673,4.3332,3.5493,3.3279,3.2468,3.3062,3.187,3.3493,3.3555,3.37396
"The young Jefferson, 1743-1789,",1.3582,1.4393,1.4525,1.5843,1.4185,1.4095,1.4387,1.4377,1.4574,1.4176,1.4598,1.531,1.4205,1.4362,1.4384,1.4159,1.4223,1.3671,1.4218,1.7353,1.4337,1.4198,1.5104,1.9965,1.5616,1.4596,1.439,1.5444,1.4561,1.447,1.47767
The Quotable Ronald Reagan,3.3279,3.6148,3.2577,3.2007,3.2161,3.3913,3.4757,3.2929,3.4048,3.3441,3.846,3.1165,3.4051,3.4428,3.1002,3.686,3.2175,3.1957,3.1059,3.3183,3.3722,3.3034,3.2682,3.2641,3.4089,3.4354,3.5314,3.11,3.3588,3.228,3.341347
"Rooster crows for day,",1.9892,2.0626,1.9409,1.9051,2.0557,2.1663,1.9276,2.0502,1.9328,1.8589,2.0151,2.0281,1.9214,2.0874,1.9023,1.9042,1.8451,2.0962,1.8442,1.8412,2.0314,1.8203,1.8296,2.2998,1.8633,2.0288,2.2329,1.8577,1.8243,2.0368,1.973313
Leadership Is an Art,2.2773,2.6927,2.2329,2.7555,2.3274,2.2614,3.6543,3.6126,2.755,2.4752,2.4319,2.2382,2.3093,2.227,2.3591,2.5945,2.3368,2.3544,2.3334,2.3446,2.3734,2.4301,2.8866,2.41,2.2472,3.7074,3.217,2.7563,2.2832,2.4825,2.578907
What's Going On?: Personal Essays,2.9449,2.7026,3.4246,2.7295,2.8548,2.6809,2.9213,2.7889,2.8931,2.6975,2.8771,2.6933,2.7203,3.1509,2.6542,3.0364,3.3643,2.7872,2.6666,3.1955,2.7834,2.9777,2.8016,3.0597,2.6813,2.9615,2.8197,2.9139,2.7204,2.8542,2.878577
Creating an Inclusive School,2.8249,2.8316,2.4994,2.6877,2.4913,2.652,3.4363,2.9565,2.513,2.6982,2.6325,2.6655,2.6196,2.7002,2.7614,2.6201,2.6614,2.6185,2.7517,2.6231,2.8578,2.6547,2.5065,2.7849,2.501,3.0559,2.522,2.6408,2.5048,2.5819,2.695173
North Carolina Ghosts and Legends,3.571,3.2221,3.8775,3.3147,3.7635,4.2536,3.2408,3.5115,3.3208,3.3731,4.1172,3.1559,3.2904,3.1511,3.32,3.3159,3.3261,3.2973,3.3566,3.6512,3.37,3.9209,3.3016,3.4241,3.4595,3.6482,3.5488,3.4748,3.3678,3.2748,3.474027
Understanding Thomas Jefferson,3.5219,3.488,3.5769,3.543,3.7184,3.5063,3.6697,4.4621,3.6312,4.6516,4.3056,3.5508,3.8731,4.0363,3.7859,4.2524,3.7521,3.5719,4.0999,3.8458,3.5499,3.7734,3.533,3.818,3.8663,3.5802,3.6875,3.4781,3.8864,3.9851,3.800027
Molecular Cell Biology,3.7165,3.4117,3.2087,3.9317,3.3976,3.8196,3.322,3.5296,3.635,3.2172,3.307,3.178,3.5409,3.2012,3.2089,3.1961,3.3778,3.2007,3.3352,3.5081,3.2015,3.537,3.2426,3.4598,3.0414,3.1611,3.2732,3.3786,3.1992,3.0846,3.36075
Joshua: A Parable for Today,2.8873,2.4599,2.8408,2.5735,3.0036,2.6975,2.5863,2.5363,2.5416,2.9833,3.2768,2.7258,2.5739,2.9048,2.5198,2.7842,2.5596,2.5232,2.5011,2.5218,2.5312,2.6034,2.5356,2.5257,2.5303,2.5175,2.4989,2.8021,2.545,2.7184,2.660307
Things Not Seen and Other Stories,3.5723,3.505,3.4491,3.728,3.2962,3.7704,3.4367,3.5433,3.9165,3.3257,3.7008,3.3657,3.6316,3.5187,3.4421,3.451,3.4115,3.8957,3.4094,3.4827,3.9073,3.6256,3.9398,3.6413,3.658,4.1665,3.5019,3.9031,4.2031,3.4612,3.628673
The Spiritual Life of Children,3.6365,3.4849,4.1009,3.4921,3.6355,3.84,3.5207,3.8743,3.8324,3.9109,3.4809,3.4133,3.4672,3.4651,3.7899,4.4534,3.4555,3.773,4.0062,3.5267,4.0959,3.5708,4.0604,3.6852,3.3339,4.0082,4.1201,3.5704,3.5897,3.4653,3.721977
Constancia and Other Stories for Virgins,3.3956,3.2946,3.3383,3.2552,3.6805,3.6018,3.3326,3.3423,3.1015,3.2833,3.0917,3.0648,3.1915,3.7763,3.1045,3.0784,3.0537,3.2319,3.1476,3.1594,3.0812,3.1272,3.0916,3.0626,3.0688,3.0372,3.2428,3.0454,3.3905,2.9577,3.221017
May I Have This Dance?,2.702,2.7174,2.775,2.7994,2.8298,2.5913,2.741,2.6961,2.9751,2.5767,2.8765,2.6005,2.7793,2.7113,2.7151,2.8099,2.5601,2.7759,2.677,2.791,2.5774,2.8699,2.6258,2.6563,3.6894,3.0325,2.6602,2.6516,4.1045,2.7148,2.809427
Grow Greener: Ten Steps to a Richer Life,2.6472,2.4223,2.2652,2.5353,2.2133,2.228,2.2064,2.2019,2.2096,2.424,2.2844,2.3878,2.2432,2.2414,2.2644,2.2557,2.2525,2.2166,2.2841,2.2387,2.2312,2.2388,2.3153,2.2454,2.5369,2.251,2.2234,2.2243,2.1931,2.2026,2.289467
The Golden Christmas Tree,2.8804,2.8533,2.8743,2.9304,2.8828,4.3532,4.336,3.1593,3.0248,3.4212,3.1074,3.0699,3.2056,2.8895,3.1942,2.9674,3.1653,2.8945,2.9667,2.8658,7.2537,5.3261,5.1662,4.9023,5.1202,4.3626,3.3229,3.4821,3.3644,3.1846,3.61757
The Age of Uncertainty,4.4482,4.6974,4.4831,4.4022,4.4532,4.4884,4.4442,4.4091,4.5302,4.6094,4.7647,6.4205,4.8076,5.3121,4.7206,4.4895,4.5526,4.9008,4.3909,4.4335,4.6099,4.375,4.332,4.4935,4.7892,4.6491,4.3037,4.4607,4.5213,4.6404,4.6311
Trailside Guide: Fly Fishing,3.225,3.1,3.4003,3.0253,3.1199,3.1608,3.0878,3.0531,3.1211,3.2871,3.2847,3.1146,3.3248,3.2032,3.7125,3.4084,3.0483,3.3725,3.0676,3.2875,3.1303,3.2263,2.9698,3.3698,3.4308,3.2704,3.239,3.0686,3.1841,3.0599,3.211783
I Wish I Had a Red Dress,2.5501,2.8952,2.5048,2.5055,2.81,2.6106,2.8364,2.5562,2.6008,2.6219,2.5097,2.6889,2.6584,2.6144,2.77,2.5855,2.4947,2.7219,2.9605,2.5457,2.5702,2.568,2.9435,2.4958,2.5856,2.5801,2.5626,2.6343,2.5208,2.5823,2.636147
The economics of macro issues,2.7714,2.6867,2.8492,2.6647,2.7107,2.6077,2.543,2.6161,3.4552,2.8364,2.6717,2.6529,2.6365,2.6474,2.9076,2.8511,2.534,2.5486,2.5568,2.7213,3.2923,2.5604,2.5561,2.6951,2.5463,2.6637,2.5532,2.5859,2.5162,2.5226,2.698693
Family Guide to Natural Medicine,3.5886,3.6784,3.6276,4.583,4.3753,3.5207,3.7875,4.291,3.9066,4.55,4.4099,4.491,4.1642,4.701,4.1755,3.9878,4.3449,4.2188,3.7179,3.7985,3.9478,3.8634,4.0099,4.0644,3.8899,3.909,3.9235,3.804,4.0527,3.9013,4.042803
Big Kitchen Instruction Book,2.3101,2.487,2.2064,2.3699,2.3048,2.1876,2.3212,2.174,2.1627,3.0042,2.1685,2.5046,2.1779,2.1534,2.4405,2.1811,2.1594,2.1814,2.1526,2.1496,2.4332,2.1802,2.1755,2.17,2.1493,2.1474,2.1553,2.24,2.1876,2.4663,2.270057
"One World, One Heart",2.7345,2.62,2.6673,3.0043,2.6501,2.6423,2.6038,2.6469,2.6932,2.7949,2.7673,2.7131,2.7073,2.7259,2.7132,2.7076,2.6805,3.237,4.3307,2.6676,2.575,2.6554,2.749,2.6702,2.583,2.7169,2.6168,2.588,2.6153,2.8706,2.764923
Reengineering the Corporation,5.1318,7.2912,5.3474,5.0393,5.4572,5.5764,5.1432,5.1659,5.7378,5.5539,5.1407,5.147,5.19,5.5003,5.38,5.6093,5.2188,5.5884,5.1533,5.2161,5.1474,5.1656,5.0884,5.0713,5.0121,4.9204,5.8793,4.8958,4.9283,7.45,5.404887
What My Parents Did Right,2.5544,2.533,2.6969,2.5488,2.4934,2.5319,2.5033,2.5117,2.9081,3.1717,2.6477,2.9688,2.6833,2.6034,2.7384,2.5375,2.5471,2.5933,2.5152,2.5308,3.2794,2.9001,2.5774,2.5858,2.581,2.5831,2.6847,2.5612,2.5601,2.5349,2.655547
The Man's Health Sourcebook,4.5816,4.3469,4.3779,4.4854,4.6377,4.456,4.3758,4.5511,4.4186,4.4005,4.5392,4.3756,4.3907,4.3753,4.5552,4.3808,4.3826,4.3773,4.5252,4.3648,4.4367,4.4981,4.4186,4.9601,4.8324,4.8367,4.385,4.5494,4.7491,4.9898,4.51847
High Tech Illustration,5.1458,4.6239,4.6702,4.5987,5.1522,4.6746,4.7715,5.8237,5.1891,4.7824,4.9482,4.7303,4.7594,8.5016,4.69,4.625,4.7796,4.6649,4.6363,4.6351,4.7426,4.6376,4.63,6.081,6.7563,4.6421,4.6866,4.6008,4.6158,5.2012,5.033217
Shackleton's Boat Journey,3.5863,2.8408,2.8726,3.0369,2.8325,2.8791,2.8337,2.8304,2.8291,3.2276,2.8171,2.8271,3.1105,2.8204,2.8228,4.0623,2.907,2.9647,2.8788,2.9165,3.2649,2.8377,2.9015,2.9009,2.8957,3.0354,2.8672,2.8479,2.8385,2.9313,2.973907
Are You Considering Psychoanalysis?,4.8175,4.7652,4.8336,4.74,4.7184,4.7818,4.9451,4.7542,4.7297,8.4963,4.7112,4.8363,4.7863,4.7793,4.9927,4.9031,4.6894,4.7226,4.8716,4.7171,4.7142,4.7157,4.7728,4.6892,4.7138,5.0128,8.3108,4.6925,4.8602,4.7086,5.026067
Daughter of Regals & Other Tales,2.7474,4.0261,3.0938,2.7956,2.6767,3.0369,3.2396,2.874,2.8725,3.6107,3.1957,2.7605,2.8209,2.8805,3.2487,3.047,2.8902,2.9313,3.2523,3.0098,3.0114,2.8964,3.0277,2.9253,3.9872,3.0971,3.1824,2.8799,2.9373,2.9312,3.06287
Get Thee To a Punnery,3.0633,3.1161,3.1111,3.0359,3.6588,4.1468,3.538,2.9946,3.9824,3.0431,3.2456,3.3584,3.1101,3.1265,3.0715,3.3739,3.1279,2.9994,3.1098,3.0192,3.0528,2.9988,3.0477,3.7342,3.0347,3.0252,3.0177,2.9857,3.2213,3.0023,3.21176
Zillionaire's Daughter,3.8169,4.0092,3.6432,3.9518,3.6121,3.584,3.8196,3.5544,3.6125,3.5927,3.5925,3.6434,4.0249,3.5857,3.9361,3.6186,3.5771,3.6222,4.4804,3.7804,4.2303,3.8204,4.7609,5.5872,5.3833,5.1786,4.8402,4.5906,4.6122,4.1458,4.073573
Macintosh programming primer,3.9565,6.3066,5.0845,4.8296,5.0393,5.3095,5.0445,3.6088,3.6309,3.2919,3.409,3.1643,3.0815,3.1,3.0451,4.396,3.6134,3.1731,3.0735,3.0485,3.1088,3.0199,3.0368,3.0487,3.4748,4.7765,4.7029,4.1767,4.5744,3.4548,3.886027
Currier and Ives Four Seasons Cookbook,4.6709,4.9085,5.385,4.2483,5.7042,4.4468,4.1269,4.0048,4.6741,5.955,5.1268,4.3561,4.0616,4.2902,4.6136,4.6962,5.3948,4.5787,4.4678,4.6249,4.281,4.5676,4.9764,4.7435,4.6369,5.9789,6.2593,5.7214,5.0606,5.1708,4.85772
Testimonies: A Novel,4.1779,4.0324,3.4668,3.4182,3.5399,3.4075,2.9021,3.0441,3.0451,3.54,3.9745,3.6467,3.8985,4.4745,3.8163,4.9464,4.5182,3.6842,3.1874,2.8854,4.124,4.2992,3.35,3.6035,4.0433,3.6964,3.6505,3.7156,3.7312,3.9451,3.725497
The downy waterfowl of North America,4.9391,5.0238,4.7683,5.5109,5.5553,5.6632,5.1928,4.6587,4.5949,5.0248,6.4267,5.8305,5.3209,4.7612,4.7949,4.8932,4.5576,4.4392,4.7144,4.2692,4.1692,3.9089,3.8749,4.1355,4.5606,5.0911,4.8988,4.1843,5.3252,5.8579,4.8982
MBO for nonprofit organizations,6.3661,6.1538,6.3125,6.0096,6.8788,7.5961,6.2242,6.4422,6.2134,6.1056,6.453,6.0851,6.2969,6.1738,6.8672,6.5179,7.1258,6.068,6.8141,6.8989,6.4478,6.1359,6.9924,6.6335,7.9198,6.8506,6.1128,6.3076,6.6485,6.5025,6.53848
The View from a Monastery,6.1194,4.2939,6.0663,5.1612,5.0156,5.1692,4.6903,4.3241,4.367,4.9164,4.803,6.704,4.4514,4.2943,4.2196,4.589,4.2117,4.3376,4.9238,4.7412,4.4326,6.9879,6.9342,5.4226,4.3716,4.614,4.3806,4.2101,4.214,4.5577,4.917477
Bringing up Kids American Style,3.8343,3.4983,2.4631,2.817,2.7985,2.4911,3.5619,2.3937,2.3734,2.3547,2.7566,2.4231,2.5785,2.607,2.5872,2.5734,2.3704,2.6289,2.4369,2.4355,2.3796,2.8499,2.956,2.4351,2.7194,2.4058,2.4726,3.4058,2.5756,2.4461,2.687647
James Herriot: The Life of a Country Vet,2.1409,1.923,1.924,2.4347,2.0718,1.9339,2.1661,2.0954,1.9253,2.0138,1.9126,1.8913,2.1849,1.9711,1.938,2.1634,2.1047,2.0624,2.0782,2.0419,1.9958,2.2481,1.9111,1.911,2.0866,1.9289,1.9128,2.541,2.1132,2.3611,2.066233
