Judul yang Diuji,Run_01_ms,Run_02_ms,Run_03_ms,Run_04_ms,Run_05_ms,Run_06_ms,Run_07_ms,Run_08_ms,Run_09_ms,Run_10_ms,Run_11_ms,Run_12_ms,Run_13_ms,Run_14_ms,Run_15_ms,Run_16_ms,Run_17_ms,Run_18_ms,Run_19_ms,Run_20_ms,Run_21_ms,Run_22_ms,Run_23_ms,Run_24_ms,Run_25_ms,Run_26_ms,Run_27_ms,Run_28_ms,Run_29_ms,Run_30_ms,Rata_rata_ms
Don't Eat Your Heart Out Cookbook,5.6031,5.3085,5.2477,4.8754,4.934,4.9444,4.8761,4.9845,4.883,5.4255,5.1955,4.8428,4.6958,5.4691,5.4407,5.373,5.0243,5.6203,5.3046,4.8578,5.2827,5.0511,5.0114,5.5247,4.9898,5.2421,4.9627,5.0719,5.352,5.0497,5.14814
Journey Through Heartsongs,6.4466,6.796,6.6191,6.7189,7.0635,6.5633,7.0444,6.7348,6.6922,6.3289,6.5173,6.2692,6.899,6.2239,6.2961,6.1962,6.1228,6.092,6.2239,6.3099,6.2796,6.4557,6.263,6.187,6.0535,6.738,6.4062,6.5889,6.0585,6.5964,6.459493
In Search of Melancholy Baby,2.9287,3.2044,3.0922,2.9491,2.7039,3.1823,2.7577,2.9175,2.9018,3.0189,2.7314,2.8472,2.7389,2.819,2.7166,2.7612,2.744,2.7311,3.3294,2.731,2.842,2.8423,2.9644,2.8441,2.8251,2.9476,2.8183,2.8688,2.8272,2.7328,2.877297
The Genesis of Ethics,3.6221,3.815,3.729,3.7285,3.7905,3.6226,3.6464,3.9824,3.5617,3.9447,3.9471,3.8381,3.7999,3.8236,4.0299,4.2605,3.656,3.7587,4.0177,3.7932,3.6662,3.8581,3.5722,3.6712,3.5643,3.7245,4.5323,3.819,3.977,4.3294,3.83606
All over but the Shoutin',4.2758,3.9604,4.1653,4.1191,3.9689,3.9211,4.0247,4.0512,4.0453,4.0131,4.0465,4.086,4.026,4.024,4.5861,4.1804,4.1372,4.2285,4.2086,4.2204,4.0629,4.0598,4.0662,4.0237,4.0549,4.1206,4.0672,4.191,4.4855,3.8731,4.109783
Oilers and Sweepers and Other Stories,4.4599,4.3112,4.255,4.515,4.9953,4.6153,4.2988,4.7098,4.3229,4.3014,4.2847,5.1903,4.3523,4.3355,4.5036,4.2887,4.4992,4.4717,5.04,4.4661,4.2846,4.3835,4.3491,5.6497,4.8742,5.4991,4.6119,4.5827,6.0016,4.7504,4.640117
The Emperor's New Mind,4.1794,4.1157,3.6523,5.0994,4.7864,3.4825,3.5211,3.5249,3.6145,3.9203,3.4965,3.9676,3.5439,3.6917,3.7141,3.4344,3.6479,3.5948,3.5494,3.7651,3.4649,3.6153,3.5228,3.4724,3.4914,3.435,3.7056,4.0368,4.1358,3.8104,3.76641
Touching Fire: Erotic Writings by Women,3.2645,3.4088,3.0661,3.4392,3.2261,3.1797,3.3226,3.2463,3.3324,3.0757,3.0918,3.0591,3.1274,3.4073,3.2982,3.1942,3.2855,3.0525,3.4826,3.2405,3.1489,3.2852,3.0809,3.3601,3.0781,3.4691,3.0952,3.4454,3.1933,3.2461,3.240093
Hill Rat: Blowing the Lid Off Congress,5.1704,6.0069,5.9058,5.1898,5.1506,5.703,5.3048,4.9657,5.3281,5.2494,5.1693,5.087,5.089,5.5012,5.2322,5.2949,5.3622,5.1383,5.2035,5.3841,4.9771,6.2378,5.4627,5.297,5.268,5.0474,5.0654,5.1155,5.1671,5.2583,5.311083
Personality of the Cat,3.151,2.9968,3.0097,4.2615,3.029,2.8257,3.166,3.076,2.9467,2.8091,3.0017,2.8086,3.0165,2.8522,2.9578,3.0174,3.3419,2.9148,3.1292,2.8299,2.9783,2.8272,2.8704,2.8233,2.8382,3.082,2.8051,3.2114,2.8265,3.0361,3.014667
Best New American Voices 2003,1.9802,1.7704,1.6798,1.6915,2.1243,1.7143,1.6887,1.8143,1.6788,1.6776,1.6718,1.8533,1.6821,1.6784,1.7949,1.7736,2.0464,2.2362,1.9309,1.6896,1.7733,1.7584,1.8907,1.6931,1.8698,1.7197,1.6937,1.7169,1.7464,1.6841,1.790773
