Judul yang Diuji,Run_01_ms,Run_02_ms,Run_03_ms,Run_04_ms,Run_05_ms,Run_06_ms,Run_07_ms,Run_08_ms,Run_09_ms,Run_10_ms,Run_11_ms,Run_12_ms,Run_13_ms,Run_14_ms,Run_15_ms,Run_16_ms,Run_17_ms,Run_18_ms,Run_19_ms,Run_20_ms,Run_21_ms,Run_22_ms,Run_23_ms,Run_24_ms,Run_25_ms,Run_26_ms,Run_27_ms,Run_28_ms,Run_29_ms,Run_30_ms,Rata_rata_ms
Don't Eat Your Heart Out Cookbook,3.4951,4.525,4.3228,2.9511,2.681,3.3026,2.9286,3.0149,2.6887,2.8218,2.6524,4.0433,4.2751,4.2781,2.9254,2.6563,2.6569,2.6641,2.6547,2.6464,2.7279,2.659,2.6501,2.645,2.6312,2.6469,2.975,2.6601,2.6457,2.6496,3.035827
Journey Through Heartsongs,3.3806,3.2107,4.2547,4.4774,3.5762,3.4844,3.3476,3.5431,3.2894,3.594,3.353,3.203,3.2721,3.1849,3.3936,3.1723,3.1692,3.1627,4.6018,3.5875,3.3298,3.4108,3.3416,3.3712,3.3708,3.3825,3.327,3.2081,3.2511,3.46,3.457037
In Search of Melancholy Baby,1.4461,1.4381,1.4329,2.4587,2.7001,2.2155,1.4541,1.4418,1.4523,1.9195,2.5232,2.5839,1.5364,1.4407,1.4386,1.445,1.4341,1.4349,1.4284,1.4317,2.3251,2.2751,1.4447,2.2843,2.5449,2.1019,1.4522,1.437,1.4275,1.7069,1.78852
The Genesis of Ethics,2.8207,2.0024,1.9887,2.6989,3.4942,2.103,1.9845,1.9868,2.8537,2.5026,2.3381,2.9312,2.0146,3.2175,3.4492,2.0156,1.9895,2.1497,2.0187,2.0084,2.1658,3.3597,3.2673,3.0905,2.1706,2.0657,2.0567,2.357,3.2864,3.5184,2.530203
All over but the Shoutin',2.9282,3.101,3.6568,3.6361,3.1197,2.6592,2.3051,2.2895,2.763,2.5856,3.1498,2.3899,2.344,2.2915,2.2861,2.3326,2.2899,2.2763,2.2907,2.2771,2.2881,2.295,2.346,2.2858,2.2886,2.281,2.2818,2.279,2.3684,2.6218,2.543587
Oilers and Sweepers and Other Stories,2.5202,2.5162,2.5278,2.502,2.7365,2.5373,2.498,2.5308,2.4976,2.5029,2.5094,2.5224,2.5149,2.4981,2.5129,2.5049,2.5585,2.998,2.5657,4.1451,3.3894,2.6095,2.4405,2.427,2.4172,2.455,2.5101,2.816,4.0223,2.9559,2.691403
The Emperor's New Mind,1.7551,2.2544,1.9582,1.6911,1.9095,1.7236,1.7075,1.7857,1.7358,1.7002,1.6951,1.92,1.6477,1.6533,1.7428,1.7018,1.712,1.7571,1.6718,1.8415,1.7455,1.7095,1.6935,1.7035,1.7123,1.7075,1.699,1.7075,1.6992,2.7346,1.78921
Touching Fire: Erotic Writings by Women,1.8742,1.7886,1.7075,2.2701,2.744,2.8253,2.8508,2.6742,1.7302,1.713,1.6875,1.7555,1.8537,1.763,1.7724,1.7802,1.7713,1.7656,1.7578,1.755,1.7553,1.9585,1.7777,1.7655,1.7702,1.7611,1.7588,1.7456,1.7616,1.7445,1.92129
Hill Rat: Blowing the Lid Off Congress,3.8891,2.8937,2.8579,2.8578,2.8733,2.8749,2.8688,3.0922,2.9304,2.8207,3.0028,3.7551,4.6308,2.8281,2.8248,3.0184,2.8093,2.8572,3.0156,2.9291,2.7934,2.9543,2.795,2.7745,2.7909,2.7721,2.8118,2.7752,2.7871,2.7786,2.988763
Personality of the Cat,1.517,1.5131,1.5116,1.5117,1.4943,1.483,1.4914,1.5539,1.4837,1.497,1.4956,1.5049,1.4956,1.4803,1.4903,1.5069,1.4818,1.6331,1.5119,1.4958,1.478,1.4729,1.4868,1.4548,1.4298,1.4095,1.4369,1.4835,1.5605,1.5031,1.495623
