Judul yang Diuji,Run_01_ms,Run_02_ms,Run_03_ms,Run_04_ms,Run_05_ms,Run_06_ms,Run_07_ms,Run_08_ms,Run_09_ms,Run_10_ms,Run_11_ms,Run_12_ms,Run_13_ms,Run_14_ms,Run_15_ms,Run_16_ms,Run_17_ms,Run_18_ms,Run_19_ms,Run_20_ms,Run_21_ms,Run_22_ms,Run_23_ms,Run_24_ms,Run_25_ms,Run_26_ms,Run_27_ms,Run_28_ms,Run_29_ms,Run_30_ms,Rata_rata_ms
Don't Eat Your Heart Out Cookbook,2.562,3.2922,2.3455,1.9672,1.9608,2.2756,2.3071,1.8697,2.2749,2.1717,5.74,4.551,3.2475,4.4501,3.5456,2.9503,1.9749,1.882,1.8741,3.2687,3.6726,2.6201,1.8626,1.8507,1.9203,1.8567,1.8544,1.876,1.8937,1.8566,2.592487
Journey Through Heartsongs,2.3549,2.3678,2.3557,2.337,2.3492,2.3476,2.349,2.3721,2.411,2.4022,2.44,2.3496,2.3445,2.3464,2.3336,2.3612,2.3765,2.3566,2.3431,2.3362,2.3623,2.3378,2.3571,2.6387,2.3538,2.3875,2.3789,2.3543,2.3437,2.3066,2.368497
In Search of Melancholy Baby,0.9812,0.959,0.9629,0.9657,1.3426,1.1813,1.0489,1.0094,1.1278,1.0161,1.0465,0.974,0.9684,0.9699,0.9647,0.9718,1.0729,0.9638,0.9606,0.9626,0.9675,0.9677,1.0386,0.9687,0.971,0.9693,0.9715,0.968,1.0593,0.9748,1.010217
The Genesis of Ethics,1.4023,1.3911,1.3874,1.3899,1.7047,1.3996,1.47,1.3911,1.3898,1.5239,1.688,1.553,1.6653,1.7292,1.5124,1.3941,1.4903,1.4047,1.6985,1.3994,1.737,1.4643,1.4583,1.4396,1.4463,1.444,1.5501,1.6633,1.4919,1.3935,1.502433
All over but the Shoutin',1.625,1.6293,1.6258,1.9564,1.5582,1.5283,1.8926,1.6223,1.6113,1.6329,1.6072,1.6162,1.6053,1.8319,1.6505,1.6058,1.5958,1.6928,1.6343,1.6749,1.7163,1.617,1.616,1.6075,1.6114,1.6024,1.6013,1.5882,1.6808,1.634,1.649057
Oilers and Sweepers and Other Stories,1.7645,1.7849,1.7149,1.8524,1.8007,1.7458,1.7423,1.8378,1.7197,1.6975,1.9534,1.6891,1.6836,1.6845,2.1394,1.6973,1.7061,1.795,1.7166,1.7019,1.7094,1.8673,1.6784,1.7236,1.9017,1.7557,1.7292,1.8983,1.7331,1.7132,1.771243
The Emperor's New Mind,1.4713,1.1966,1.1638,1.1697,1.1769,1.1736,1.1805,1.1703,1.1694,1.1852,1.2347,1.1884,1.1867,1.1805,1.1852,1.3495,1.1385,1.1873,1.1499,1.1743,1.2357,1.187,1.2377,1.241,1.1291,1.2978,1.295,1.1599,1.1371,1.1307,1.202777
Touching Fire: Erotic Writings by Women,1.2012,1.1935,1.1886,1.191,1.4085,1.1837,1.175,1.1793,1.1695,1.2181,1.1914,1.2602,1.1919,1.1836,1.4521,1.1829,1.1866,1.1822,1.2584,1.3973,1.2023,1.1942,1.1902,1.1868,1.3662,1.1919,1.1921,1.1889,1.2926,1.5407,1.23803
Hill Rat: Blowing the Lid Off Congress,1.9907,2.21,1.8878,1.9342,2.0757,1.9759,1.9655,2.7381,1.9806,2.2057,2.272,1.9566,2.1601,1.983,1.9712,2.22,1.9821,1.9734,1.9797,1.9792,1.9497,2.0373,1.9696,1.954,1.9776,1.9903,1.9811,2.2446,2.0262,1.9637,2.051187
Personality of the Cat,0.9846,0.9822,0.9825,0.9744,0.9747,0.9612,0.9688,0.973,0.9758,0.9626,1.1076,0.9869,0.9794,0.9754,0.9676,0.9615,0.9693,0.9713,0.9652,0.9318,0.918,0.9214,0.9289,0.9274,0.9275,0.9351,1.1116,0.9662,0.9304,0.9271,0.968313
Best New American Voices 2003,0.7832,0.7558,0.7489,0.7502,0.7534,0.7505,0.7472,0.7501,0.7587,0.7446,0.8663,0.7546,0.753,0.7572,0.7606,1.036,1.0131,0.7573,0.7656,0.8049,0.7964,0.759,0.7551,0.8932,0.8623,0.7669,0.7524,0.814,0.8133,0.7512,0.7925
Jackie by Josie: A Novel,1.3301,1.3173,1.3081,1.4902,1.269,1.3276,1.3521,1.3286,1.5155,1.3289,1.3719,1.5989,1.5626,1.2558,1.3417,1.264,1.6513,1.5586,1.2601,1.2566,1.3151,1.9745,1.3243,1.3147,1.3064,1.6421,1.331,1.3279,1.2421,1.5499,1.400563
Majorca: Culture and Life,1.1468,1.0645,1.1353,1.5036,1.185,1.059,1.1146,1.1175,1.3039,1.1145,1.1092,1.1033,1.1042,1.0996,1.1613,1.1124,1.0931,1.1035,1.114,1.1201,1.1024,1.1029,1.1,1.1072,1.1026,1.1472,1.1024,1.1104,1.106,1.0883,1.13116
The Universe of Galaxies,1.8328,1.815,1.9766,1.8204,1.8151,1.9801,1.8203,1.7493,1.7349,2.0681,1.7294,1.7791,2.0376,1.8118,1.7384,1.8819,1.8176,1.7325,1.7371,2.4622,1.8287,1.8134,1.8651,1.8161,1.8121,1.816,1.8222,1.8036,1.9583,1.735,1.85369
Healing Benefits of Garlic,1.5727,1.7962,1.4984,1.4373,1.6074,1.4394,1.4187,1.4276,1.5291,1.4397,1.4241,1.4244,1.5437,1.509,1.5054,1.4963,1.4398,1.4307,1.422,1.4311,1.4281,1.4186,1.4111,1.4873,1.4271,1.4314,1.4088,1.4247,1.4284,1.433,1.469717
George Meany And His Times: A Biography,1.8964,1.8744,2.2353,1.8818,1.8772,2.0979,1.8694,1.871,1.9011,1.878,2.0247,1.9679,1.9103,1.8988,2.0028,1.9083,1.8892,1.9628,2.4813,1.8979,1.9542,1.9089,1.8877,1.9359,1.889,1.8882,2.0127,1.8791,1.8775,1.8923,1.9484
American Dreams: Lost & Found,1.1917,1.1822,1.1722,1.2139,1.1912,1.1866,1.9559,1.3292,1.1814,1.1891,1.1748,1.1698,1.1826,1.1986,1.1837,1.1836,1.1654,1.178,1.1802,1.2772,1.178,1.1784,1.1804,1.1907,1.1693,1.1783,1.1815,1.1807,1.1904,1.1671,1.21607
"Love, Love, and Love",1.2387,1.5714,1.6385,1.1684,1.2254,1.1967,1.1209,1.1204,1.1266,1.1233,1.1085,1.2349,1.1323,1.1135,1.1155,1.1175,1.1639,1.1289,1.1093,1.1152,1.1229,1.1306,1.1114,1.1273,1.122,1.1163,1.1058,1.1226,1.1115,1.1117,1.168397
Henry VIII (English Monarchs Series),1.9242,1.5831,1.7912,1.6866,1.7557,1.8915,1.5832,1.759,1.9263,1.7235,1.7142,2.0583,1.7409,1.7236,1.5919,2.036,1.5884,1.8983,2.2088,1.6049,2.055,1.677,1.5818,1.741,1.6021,1.7827,1.6827,1.6664,2.0606,2.0639,1.790093
The Moral Intelligence of Children,1.8901,1.8128,1.9136,1.79,1.944,1.7125,1.9507,1.719,1.7105,1.73,2.0757,1.7532,1.8093,1.7159,1.7916,1.7779,1.8379,1.9278,1.717,1.6929,1.7834,1.7731,1.7935,1.7089,2.1166,1.7144,2.0377,1.9013,1.791,1.7778,1.822337
Cook Healthy: Cook Quick,1.1057,1.0924,1.1236,1.0438,1.1711,1.0927,1.0885,1.0839,1.3007,1.1235,1.1015,1.0922,1.0866,1.0745,1.0948,1.0863,1.0923,1.0869,1.1231,1.0481,1.1532,1.0809,1.0794,1.0778,1.1893,1.0569,1.4845,1.0774,1.0685,1.1927,1.119093
Sunset at Rosalie: A Novel,1.5961,1.2671,1.2476,1.3745,1.6075,1.3056,1.2922,1.2959,1.3086,1.6292,1.2575,1.327,1.2648,1.7058,1.9173,1.4779,2.3259,1.5874,1.2581,1.2819,1.4066,2.0114,1.2704,1.3999,1.4357,1.4987,1.2502,1.5151,1.2612,1.819,1.473203
Proverbs For The People,1.5284,1.4098,1.9755,1.404,1.4883,1.7125,1.6746,1.4087,1.5743,1.4813,1.6272,1.4093,1.5168,1.457,1.7229,1.4712,1.4822,1.4723,1.626,1.5303,1.4976,1.4628,1.4667,1.4597,1.4786,1.4791,1.4485,1.4541,1.8127,1.7689,1.543377
Great American Countryside,2.5478,2.3987,2.4017,2.7025,2.4446,2.5177,2.4238,2.386,2.4025,2.3885,2.3814,2.3799,2.3639,2.6641,2.38,2.381,2.3999,2.3893,2.3795,2.4016,2.5762,2.3969,2.412,2.4109,2.4062,2.389,2.3915,2.6882,2.4074,2.4096,2.440743
Rob Whitlock: A Pioneer Boy in Old Ohio,1.0517,1.0484,1.0472,1.048,1.0653,1.0596,1.0482,1.0462,1.0521,1.2112,1.0632,1.0479,1.0375,1.0473,1.0454,1.0608,1.0468,1.046,1.0448,1.0455,1.0597,1.0536,1.0605,1.0543,1.0343,1.0511,1.5351,1.2548,1.3235,1.3938,1.09946
British Hospitals (Britain in Pictures),1.822,1.74,1.8008,1.7351,1.7606,2.502,2.2468,2.3734,1.7958,1.8754,1.8276,1.8275,2.44,2.8016,2.4907,2.0964,1.9235,1.831,1.9086,1.9201,1.8285,1.8367,1.8189,1.8915,1.824,1.8191,1.8286,1.8361,1.824,1.8364,1.968757
The Practical Stylist,1.9414,2.5802,1.587,1.9102,1.5905,1.5933,1.516,1.5853,1.5934,2.3184,2.5851,2.3677,1.7745,1.5622,1.5579,1.5813,1.5594,1.5562,1.5551,1.5398,1.5527,1.5616,1.7667,1.5618,1.5598,1.5798,1.5854,1.5674,1.5584,2.2786,1.74757
Civilization III: Instruction Manual,1.5287,1.5172,1.5101,1.6139,1.6283,1.449,1.4432,1.5779,1.5269,1.5148,1.5421,1.4497,2.1032,2.2565,1.6404,1.5151,1.5238,1.5773,2.1595,2.3437,1.9466,1.4418,2.1033,1.4537,1.6369,1.7381,2.0757,1.6714,2.1797,1.8483,1.717227
