Judul yang Diuji,Run_01_ms,Run_02_ms,Run_03_ms,Run_04_ms,Run_05_ms,Run_06_ms,Run_07_ms,Run_08_ms,Run_09_ms,Run_10_ms,Run_11_ms,Run_12_ms,Run_13_ms,Run_14_ms,Run_15_ms,Run_16_ms,Run_17_ms,Run_18_ms,Run_19_ms,Run_20_ms,Run_21_ms,Run_22_ms,Run_23_ms,Run_24_ms,Run_25_ms,Run_26_ms,Run_27_ms,Run_28_ms,Run_29_ms,Run_30_ms,Rata_rata_ms
Don't Eat Your Heart Out Cookbook,1.9301,2.209,1.3414,1.898,1.5715,1.5835,1.8729,2.0655,2.0191,1.4998,1.251,1.3493,1.2552,1.9534,1.7067,1.3918,1.2884,1.5593,1.2992,1.6779,1.5869,1.25,1.2743,1.3848,1.4167,1.2792,1.1925,1.1833,1.1722,1.7474,1.540343
Journey Through Heartsongs,1.5639,1.7781,1.9467,1.7619,1.6043,1.7578,1.5569,1.5402,1.5441,1.5372,1.5366,1.5551,1.5632,1.9701,1.5498,1.5427,1.5485,1.5776,1.5436,1.5365,1.5507,1.5419,1.593,1.5569,1.7504,1.7826,1.6185,1.8788,1.6339,1.6702,1.63639
In Search of Melancholy Baby,0.806,0.8219,0.7944,0.9903,0.9717,0.8059,0.832,0.8046,0.872,0.8089,0.7976,0.7995,0.8068,0.7949,0.7958,0.8111,0.7999,0.7983,0.7969,0.7957,0.7588,0.7647,1.0417,1.21,0.858,0.7826,0.7631,0.7626,0.7605,0.7639,0.832337
The Genesis of Ethics,1.0432,1.0417,1.0359,1.0326,1.0465,1.0348,1.6614,1.807,1.7384,1.6173,1.5899,1.0436,1.0383,1.2926,1.0414,1.0303,1.0326,1.116,1.11,1.0943,1.0904,1.0871,1.0718,1.0403,1.0398,1.0336,1.034,1.0679,1.0404,1.0411,1.166473
All over but the Shoutin',0.7633,0.7538,0.8226,0.7633,0.76,0.7642,0.756,0.7592,0.7597,0.7534,0.7535,0.7541,0.7566,0.7545,0.7688,0.7549,0.756,0.7571,0.7571,0.7591,0.7578,0.7588,0.8585,0.7931,0.7702,0.7588,0.7552,0.7534,0.755,0.7564,0.764813
Oilers and Sweepers and Other Stories,1.3792,1.4223,1.3982,1.398,1.3988,1.7966,1.642,1.6896,1.6494,1.3978,1.3971,1.7692,2.2805,2.1652,1.834,1.4304,1.7002,1.5035,1.4149,1.4226,1.395,1.3956,1.4362,1.3827,1.5843,1.3924,1.3868,1.3838,1.3851,1.3793,1.540357
The Emperor's New Mind,1.1549,1.1445,1.1527,1.2021,1.1447,1.2727,1.156,1.1451,1.1527,1.139,1.1534,1.153,1.1534,1.1395,1.145,1.2028,1.1535,1.1497,1.3978,1.2404,1.3235,1.206,1.1452,1.1367,1.1402,1.4935,1.1614,1.1548,1.1417,1.1498,1.186857
Touching Fire: Erotic Writings by Women,1.8245,1.806,1.8097,1.8512,1.8042,1.804,1.7967,1.8095,1.8758,1.8031,1.7843,1.799,1.8794,1.8703,1.9158,1.8032,1.8525,1.8059,1.7837,1.7935,1.8162,1.7976,1.8057,1.804,1.816,2.026,1.9921,1.7973,1.8353,1.8363,1.833293
Hill Rat: Blowing the Lid Off Congress,1.0238,1.033,1.1641,1.0473,1.033,1.0488,1.0558,1.0206,1.3355,1.0907,1.0484,1.0254,1.0185,1.0143,1.181,1.0286,1.0647,1.0221,1.0417,1.0369,1.2105,1.0305,1.0663,1.0226,1.023,1.2797,1.0622,1.1248,1.4744,1.0953,1.090783
Personality of the Cat,2.423,2.7646,2.5097,2.6068,2.3258,2.8689,2.6053,2.3073,2.3362,2.3167,2.3075,2.3831,2.3238,2.6762,2.3059,2.3434,2.451,2.3546,2.3353,2.3135,2.4081,2.3464,2.275,2.2044,2.533,2.3017,2.4917,2.342,2.3205,3.0241,2.43685
Best New American Voices 2003,0.9686,0.929,1.1541,0.9682,0.9333,0.9397,1.5848,1.277,0.986,0.9777,0.9813,0.9797,0.973,0.9765,0.9498,0.9402,0.9274,0.9255,0.9292,1.1606,1.0855,1.5988,1.4925,1.4641,1.0349,0.9297,0.9243,1.1882,1.4849,1.4693,1.10446
Jackie by Josie: A Novel,1.8514,2.1373,1.4643,1.3108,1.2936,1.3883,1.3047,1.3619,1.9618,1.6118,1.3376,1.277,1.4584,1.2989,1.5708,1.3617,1.4131,1.2899,1.3294,1.2841,1.2884,1.2764,1.269,1.3948,1.2806,1.2783,1.2854,1.2993,1.2885,1.2836,1.40837
Majorca: Culture and Life,1.8042,1.6623,1.9517,1.7116,1.6562,1.6659,1.6518,1.6793,1.6474,1.6562,1.6458,2.0747,1.7057,1.6745,1.725,1.6646,1.6559,1.6865,1.7431,1.74,1.8344,1.7841,1.7609,1.7525,1.74,1.742,1.7369,1.74,1.7476,1.8283,1.735637
The Universe of Galaxies,1.1157,1.0904,1.1429,1.0503,1.0395,1.0325,1.1459,1.1456,1.0492,1.0439,1.0427,1.151,2.4395,1.1541,1.3957,1.5692,1.1561,1.4158,1.2099,1.0514,1.0545,1.1082,1.3436,1.0559,1.0509,1.0468,1.0548,1.0904,1.0493,1.0463,1.178067
Healing Benefits of Garlic,1.5097,1.5285,1.4749,1.4775,1.5866,1.7222,1.6375,1.5402,1.578,1.5417,1.5262,1.5274,1.5562,1.7161,1.492,1.4715,1.5667,1.4664,1.4618,1.5862,1.5327,1.4707,1.4713,1.4726,2.3521,1.4727,1.4644,1.4646,1.5519,1.4867,1.5569
George Meany And His Times: A Biography,1.407,1.4196,1.9068,1.4669,1.4103,1.4151,1.3965,1.4031,1.4211,1.426,1.409,1.4051,1.4031,1.9327,1.5242,1.4139,1.4124,1.4216,1.4799,1.4287,1.4122,1.6121,1.4688,1.3385,1.5969,1.3692,1.3442,1.3534,1.4478,1.3452,1.45971
American Dreams: Lost & Found,1.6866,1.6978,1.8173,2.3793,1.8052,1.837,1.7545,1.7828,1.95,2.3192,1.7372,2.6653,1.7082,1.7229,1.6718,1.7207,1.6876,1.6949,1.7242,1.9411,1.7724,1.7545,1.7682,1.7702,1.7582,1.755,1.761,1.7587,1.8436,1.7754,1.834027
"Love, Love, and Love",1.2586,1.2255,1.2282,1.2217,1.2343,1.231,1.2389,1.2283,1.2358,1.2669,1.2289,1.2321,1.2329,1.2345,1.2254,1.2396,1.2396,1.2285,1.2328,1.2376,1.2252,1.2722,1.2282,1.2355,1.2517,1.2344,1.2254,1.2257,1.2351,1.2265,1.235367
Henry VIII (English Monarchs Series),1.3062,1.2487,1.2653,1.2691,1.7439,1.467,1.2495,1.2389,1.246,1.2467,1.2466,1.2368,1.248,1.2562,1.3456,1.3134,1.2779,1.2455,1.2484,1.244,1.2333,1.2386,1.2371,1.4057,1.2404,1.2992,1.2172,1.2263,1.2372,1.2345,1.283773
