Judul yang Diuji,Run_01_ms,Run_02_ms,Run_03_ms,Run_04_ms,Run_05_ms,Run_06_ms,Run_07_ms,Run_08_ms,Run_09_ms,Run_10_ms,Run_11_ms,Run_12_ms,Run_13_ms,Run_14_ms,Run_15_ms,Run_16_ms,Run_17_ms,Run_18_ms,Run_19_ms,Run_20_ms,Run_21_ms,Run_22_ms,Run_23_ms,Run_24_ms,Run_25_ms,Run_26_ms,Run_27_ms,Run_28_ms,Run_29_ms,Run_30_ms,Rata_rata_ms
Don't Eat Your Heart Out Cookbook,12.5188,7.1444,8.3429,7.1554,7.6338,6.9699,10.457,10.8658,9.08,8.1997,8.2745,7.9723,7.2201,7.4555,8.9851,7.1353,7.3183,7.0883,7.2959,7.0603,7.2143,7.2068,7.2568,7.071,7.2132,7.6237,7.4377,7.111,7.0897,7.1388,7.884543
Journey Through Heartsongs,13.6037,9.2447,8.6912,6.8632,7.1728,6.8274,7.0924,6.9338,6.8435,6.8528,6.9087,6.8088,6.8896,6.8481,7.0922,6.8586,6.8491,6.8755,6.8109,7.0628,6.882,6.9257,6.9356,6.966,6.8514,6.8145,6.9007,6.8157,6.9466,6.8743,7.268077
In Search of Melancholy Baby,6.835,6.7907,7.0515,6.8392,8.6405,6.8616,6.8876,7.7609,6.9872,7.6126,6.8054,7.1316,6.8981,6.8845,6.7583,6.7858,6.936,6.8124,7.7182,6.9082,7.6212,9.1947,6.9527,6.9869,6.8047,7.1613,6.9181,7.1479,6.8864,6.9675,7.151557
The Genesis of Ethics,6.8168,6.6774,6.6123,8.3903,6.6592,7.1495,7.7448,6.6694,8.6129,6.8022,6.6665,6.7007,6.7059,6.6819,6.7079,6.7087,6.726,6.7462,6.7583,6.9459,6.6631,8.9858,6.7207,6.7201,6.7134,6.7282,6.7137,6.7046,6.8684,6.6912,6.9664
All over but the Shoutin',6.9513,7.1404,6.9732,7.7873,6.9878,7.1297,6.9904,7.0048,6.9927,9.3239,9.5942,7.3737,11.1185,6.9169,7.4769,6.8675,7.0987,7.0895,6.816,6.9208,6.855,7.432,6.8254,7.3486,6.9908,7.2225,6.8952,6.9347,11.0291,7.6326,7.524003
Oilers and Sweepers and Other Stories,6.9826,6.8424,6.9187,7.0866,6.8549,7.263,6.8399,7.0665,8.9047,7.5155,7.1631,6.8504,7.2895,6.8331,6.7725,6.8076,6.7624,6.8587,6.9147,6.8638,7.2498,6.8434,6.8667,6.8281,8.0896,7.2337,7.6009,6.8483,6.8813,6.8132,7.088187
The Emperor's New Mind,7.6827,7.1598,7.2572,8.8431,7.1592,7.1575,7.1462,7.345,7.1719,7.071,7.3291,7.2639,7.3705,7.4944,7.2849,7.2061,8.8444,7.2842,7.1383,7.0541,8.3323,8.1638,7.2968,7.2897,7.236,7.1141,7.3564,7.2432,7.2027,7.4395,7.431267
Touching Fire: Erotic Writings by Women,11.9395,12.9241,10.7945,8.776,12.0219,12.5146,11.432,12.0708,11.9873,11.573,11.3797,10.5686,10.4802,8.6753,11.2572,11.5517,11.1484,10.7199,12.3026,11.5409,11.973,9.5601,8.5403,11.5429,11.7027,11.5426,11.5084,11.4904,11.5477,9.0081,11.135813
Hill Rat: Blowing the Lid Off Congress,9.0549,7.3736,7.49,7.3616,7.5299,7.5766,8.6008,9.8032,8.8105,7.6034,7.2643,7.7402,7.3731,7.1139,7.4883,7.2447,7.1041,8.161,7.251,8.623,7.3928,7.3449,7.1498,7.2555,7.0829,7.8665,7.6397,7.4674,9.7878,11.1974,7.89176
Personality of the Cat,7.7863,7.6805,6.5748,8.8755,13.0849,10.928,7.4479,11.3131,14.2336,9.7834,10.8029,7.4001,6.66,7.478,11.7656,6.118,5.4216,5.0703,5.3466,5.6918,5.7685,5.5548,5.294,5.0021,4.939,9.4436,5.5944,6.2951,6.8759,12.0307,7.875367
Best New American Voices 2003,6.9603,7.3979,7.707,7.2184,9.141,8.4701,8.3795,10.8188,11.6058,11.9269,12.2748,10.2973,7.3397,6.8664,6.9491,6.9279,6.6618,7.4096,6.76,7.1313,8.0631,8.4675,8.3754,9.0233,8.3923,7.1024,8.502,7.289,7.3006,6.8464,8.25352
Jackie by Josie: A Novel,6.9359,6.6242,7.3132,8.1833,7.4772,7.0579,9.2862,9.2012,7.4008,6.6632,6.7427,10.62,6.676,6.6386,10.1624,6.6419,8.5158,6.5321,6.5341,7.6978,7.3243,8.0393,6.8296,6.6609,6.6282,6.5865,8.7997,6.582,8.546,9.4145,7.610517
Majorca: Culture and Life,9.3249,7.3395,7.8569,6.8017,9.3802,10.1227,8.3898,7.6555,8.1313,6.8722,7.6523,7.086,7.0275,7.0018,6.9755,7.4793,7.9074,7.1087,6.8676,6.8455,6.9988,6.8059,8.4013,7.0457,6.9147,6.8523,7.0132,6.838,6.8702,6.8673,7.481123
The Universe of Galaxies,6.7387,6.6506,6.7531,6.6534,6.6894,6.9995,6.7025,7.8753,6.7314,10.9475,10.9123,11.0354,7.9669,11.537,12.0393,12.1674,9.253,9.8789,7.5844,7.7218,7.4359,7.9011,6.9888,7.5178,9.4572,7.4066,7.7903,7.2656,9.4083,7.3773,8.379557
Healing Benefits of Garlic,9.6988,12.0227,12.2801,9.3733,6.8785,6.9731,7.2757,7.2193,7.002,6.9059,6.8981,6.753,6.9876,8.1683,7.6779,7.0298,6.9415,7.0152,6.9255,6.8335,7.0868,8.0576,7.5555,7.1175,7.4592,6.9384,8.9391,11.4919,11.0368,12.146,8.156287
George Meany And His Times: A Biography,12.7661,19.2382,13.3326,11.3826,16.0476,13.0595,22.6727,22.6545,13.8381,15.6057,13.5723,15.6617,11.8246,13.0181,12.5823,9.0625,10.3495,9.9668,10.6266,11.6392,10.9427,10.8083,9.6645,9.8411,10.6309,11.9189,11.4901,10.5587,9.1808,7.9178,12.7285
American Dreams: Lost & Found,10.267,7.3179,10.4984,7.9794,7.0124,7.1929,7.1948,6.9749,8.4914,6.5721,7.5321,8.7784,9.4239,7.829,8.118,6.8672,7.3563,6.751,9.9448,9.394,7.4674,7.4886,7.3146,7.2206,6.6478,6.5247,11.6615,12.2787,6.5262,6.4272,8.035107
"Love, Love, and Love",8.0163,10.8157,8.7081,7.7334,8.4912,10.4646,12.397,11.1509,10.7708,8.7204,10.673,10.645,9.9001,10.7114,8.9182,10.7159,10.73,10.5595,10.7258,10.5915,11.0309,10.588,10.5652,10.5545,10.6253,10.6521,11.9474,10.4884,12.2695,11.082,10.374737
Henry VIII (English Monarchs Series),8.7497,12.6217,12.025,10.3168,11.4692,10.6187,14.336,11.8329,13.0099,15.3596,10.9748,12.2622,12.4628,13.8832,12.4879,10.8472,12.4919,11.1542,12.874,12.1601,12.1253,11.4545,10.326,13.1252,11.8435,9.8681,11.2234,9.8743,9.5301,10.6406,11.731627
The Moral Intelligence of Children,10.3142,10.1076,7.5159,10.048,10.7153,10.6902,11.2647,8.0261,8.9497,10.3783,9.0389,8.0371,13.2277,9.4428,10.3115,13.029,10.3331,8.4292,9.025,11.7786,9.0187,7.3372,9.0005,11.995,10.7201,9.2158,8.9231,10.9898,11.2742,9.4998,9.95457
Cook Healthy: Cook Quick,12.4339,7.3304,9.8421,11.136,10.4507,12.7496,11.6147,10.1815,9.4272,6.7359,7.1141,6.6702,6.7242,6.8682,7.099,7.0514,9.2339,8.2315,11.9107,9.3993,7.7978,7.8428,7.5336,8.6135,8.1045,7.241,7.9064,7.3645,10.0125,11.0208,8.85473
Sunset at Rosalie: A Novel,11.6164,10.0115,10.6914,10.5096,8.2081,10.2525,11.7039,10.6089,10.0608,12.7335,9.9253,10.4477,11.0687,10.3068,12.3348,7.805,8.2614,7.2174,9.8742,12.6653,10.0061,7.166,7.22,9.9221,10.5193,8.7936,6.7753,9.558,7.8689,7.2791,9.71372
Proverbs For The People,8.1963,7.5099,8.8488,7.0397,8.2067,7.5677,10.8515,10.2279,7.2587,7.9379,7.2478,6.9803,9.0719,8.8169,6.7844,9.3839,10.6628,7.2516,6.7103,7.6734,7.0334,9.0899,6.7706,8.9883,6.6923,7.146,6.9754,7.8947,11.778,10.839,8.247867
Great American Countryside,10.0223,8.8146,6.5447,6.5011,7.9219,10.6479,8.014,11.1174,8.9492,9.2427,6.6543,9.5826,11.4755,11.9357,12.7086,11.4156,10.7543,11.2712,10.8993,10.2512,10.7204,11.784,10.9069,11.0143,7.1302,9.2804,11.187,11.0141,8.5152,6.5901,9.762223
Rob Whitlock: A Pioneer Boy in Old Ohio,7.4831,7.7411,7.431,7.7553,7.0887,7.449,7.3867,8.38,12.4993,12.6521,12.4014,8.3681,12.2558,12.6273,10.4662,11.4772,11.1024,15.086,8.4804,7.3478,7.6571,7.8786,8.1838,8.2571,8.3641,7.7621,7.5797,7.4539,7.5519,7.7327,9.129997
British Hospitals (Britain in Pictures),11.9613,8.8681,9.4845,7.2919,6.9839,8.0118,7.2499,7.4154,7.5655,8.7166,8.8491,7.365,7.0238,7.5814,7.5268,7.5284,7.3367,7.2325,7.4202,7.3715,8.076,7.5635,8.1173,10.3401,8.3708,9.2832,11.7999,10.6251,12.3084,12.5293,8.593263
The Practical Stylist,12.6744,12.4664,12.5388,12.5882,12.6591,12.441,13.1353,9.9628,12.9484,12.5856,12.2712,9.38,10.2721,11.6749,11.121,7.0682,8.6038,9.8884,12.9617,11.9751,12.8503,12.593,11.6649,10.742,11.0705,12.3502,11.9307,13.0329,12.377,10.7995,11.620913
Civilization III: Instruction Manual,11.3411,11.3516,11.4128,11.3915,11.3509,11.3198,11.4409,11.4214,11.3757,11.3927,11.3348,11.3233,9.016,7.8991,7.486,7.6611,8.082,8.1657,7.4458,7.4688,7.3283,7.1556,7.283,7.1191,7.1448,6.9985,7.537,8.5408,7.8804,11.4424,9.270363
Elvis in the Morning,8.6223,9.3859,9.5175,10.4428,11.3322,7.4325,7.3812,7.0886,9.4042,8.9369,7.7423,7.1155,7.6027,7.1447,7.037,6.9608,7.1289,6.9556,6.9343,7.0293,7.0856,7.1901,6.9367,7.008,6.9883,7.789,7.2783,8.5273,7.1154,6.7715,7.79618
Future Space: Beyond Earth,7.1949,7.0214,6.8604,6.7736,6.797,7.9415,7.2456,7.3667,7.2108,7.3386,7.0941,7.6154,9.8061,7.3369,7.1554,7.2174,7.32,7.1731,7.8439,7.2245,7.5521,7.2545,7.5723,7.3967,8.5807,7.4365,7.7874,7.4099,7.36,7.2033,7.436357
"The young Jefferson, 1743-1789,",7.2948,7.1565,7.6002,7.3063,7.726,7.27,7.524,7.4293,7.3374,7.2208,8.7312,7.4353,7.5576,7.4658,7.8413,7.3435,7.4995,7.1927,7.3525,7.2363,7.4788,7.2047,7.2243,7.2939,7.1781,7.3295,7.1611,7.3259,7.1747,9.2191,7.47037
The Quotable Ronald Reagan,9.4923,8.1365,7.1917,6.8364,6.6765,6.5235,6.8577,6.5372,6.7515,6.5602,6.7874,6.6789,6.5347,7.3539,6.6431,6.5971,6.6292,6.5732,6.7396,7.0012,6.5886,6.66,6.5712,6.5342,6.574,6.5781,6.657,6.7083,6.608,7.6104,6.873053
"Rooster crows for day,",7.7015,6.4815,6.6083,7.6759,6.4177,6.9529,6.3621,6.6714,6.3406,6.3148,6.6703,6.3331,6.586,6.3443,6.3247,6.9263,6.3455,8.096,6.69,6.7883,6.7229,6.4351,6.6658,6.4309,6.4341,6.6582,6.5318,6.4514,6.4222,6.5966,6.666007
Leadership Is an Art,6.9475,6.9006,6.8988,6.9055,6.9356,6.8919,7.0072,6.9346,7.2549,7.0057,7.012,6.9708,6.8895,7.3373,6.8962,6.9087,7.1801,6.9729,8.0374,7.0328,7.6259,6.9897,7.1684,6.9452,8.4252,6.8619,6.8491,7.1016,6.843,7.3612,7.10304
