Judul yang Diuji,Run_01_ms,Run_02_ms,Run_03_ms,Run_04_ms,Run_05_ms,Run_06_ms,Run_07_ms,Run_08_ms,Run_09_ms,Run_10_ms,Run_11_ms,Run_12_ms,Run_13_ms,Run_14_ms,Run_15_ms,Run_16_ms,Run_17_ms,Run_18_ms,Run_19_ms,Run_20_ms,Run_21_ms,Run_22_ms,Run_23_ms,Run_24_ms,Run_25_ms,Run_26_ms,Run_27_ms,Run_28_ms,Run_29_ms,Run_30_ms,Rata_rata_ms
Don't Eat Your Heart Out Cookbook,7.0116,6.1553,5.4805,5.677,3.7516,3.585,4.1163,3.6855,3.702,4.0953,3.8094,3.7796,4.8902,4.801,56.0401,13.2488,4.7306,9.7915,6.4868,4.658,5.6485,4.0139,3.62,4.4978,6.5774,6.5597,6.5521,6.8396,6.5051,5.3014,7.187053
Journey Through Heartsongs,3.4644,3.4286,4.1504,3.4478,3.4575,3.4185,3.9536,3.4583,3.4303,3.3998,3.4077,4.1902,3.4826,3.6211,3.5174,3.5931,3.4576,3.4535,3.4085,3.4118,4.2975,3.5245,3.4748,3.4848,4.1376,3.4952,3.5211,3.4526,3.4566,3.4627,3.582003
In Search of Melancholy Baby,4.4093,3.7635,3.6486,3.7489,4.0926,3.7445,3.691,3.6168,3.7699,3.6734,3.849,5.0204,4.805,3.7531,3.7179,3.6131,3.7251,3.604,3.7079,3.5925,3.6488,3.6312,3.612,3.6041,3.61,3.6457,3.6145,3.6393,3.6317,3.6269,3.79369
The Genesis of Ethics,3.478,3.4057,3.3687,3.8352,3.6219,3.4089,3.4113,3.4015,3.6906,3.399,3.3889,3.373,3.3774,3.5973,3.4395,3.4311,3.4186,3.3978,3.5116,3.4253,3.6066,3.4264,3.4397,3.4252,3.9014,3.7246,3.5146,3.8247,3.5173,3.5417,3.510117
All over but the Shoutin',4.0061,3.5646,3.7738,3.5321,3.7441,3.6588,3.6734,3.5167,3.6327,4.7301,3.6837,3.6764,4.7138,4.5356,4.1062,3.9497,4.3298,4.7104,3.9105,3.5837,5.4372,4.3861,3.6283,4.3647,4.9952,4.7934,3.9311,3.6718,4.0984,5.1851,4.11745
Oilers and Sweepers and Other Stories,3.5847,3.39,4.0179,3.3477,4.2988,4.2587,3.7788,3.4326,3.9636,4.6456,4.1172,3.8355,3.3255,3.6597,3.5748,4.2675,3.3516,3.7387,3.3457,3.7601,3.3397,4.4385,3.7749,3.9955,4.3762,3.3831,3.7334,3.4318,4.6325,3.3592,3.805317
The Emperor's New Mind,3.8313,4.5923,3.8323,3.4964,4.234,3.8731,4.6508,3.5633,3.7782,4.0501,3.5813,3.4921,3.4736,3.5706,3.6256,3.6335,3.4727,3.4975,3.4823,3.7791,3.4775,3.4723,4.2942,3.6554,3.5733,3.4885,3.7417,3.534,3.6017,3.4997,3.72828
Touching Fire: Erotic Writings by Women,3.8654,3.7337,3.7161,4.3494,4.1924,3.7721,3.7516,3.8436,3.739,3.7149,3.7212,3.7249,4.3202,3.7803,3.7389,3.7308,6.2584,6.8415,6.4568,5.9058,6.2424,6.484,7.4898,6.1016,3.8128,3.9937,4.1534,3.8701,3.7734,3.7948,4.562433
Hill Rat: Blowing the Lid Off Congress,3.6737,4.8797,5.1636,4.3447,3.8476,3.6704,4.3014,3.7646,3.85,3.8173,3.9929,3.9844,3.9505,3.6974,3.644,4.5124,3.6913,3.6448,3.6378,4.4809,3.9055,4.3007,3.6598,4.4128,4.6118,4.0529,3.6845,4.7954,4.221,3.6542,4.0616
Personality of the Cat,4.1836,4.1503,3.4119,3.3902,4.3371,4.4972,3.4448,3.4214,4.4238,4.6,3.4706,3.4137,4.3029,5.2998,3.4598,3.3571,3.5638,3.8662,3.611,4.1503,3.467,3.5814,4.1535,3.4491,3.3874,3.7393,3.585,4.3641,3.4679,3.4509,3.83337
