Judul yang Diuji,Run_01_ms,Run_02_ms,Run_03_ms,Run_04_ms,Run_05_ms,Run_06_ms,Run_07_ms,Run_08_ms,Run_09_ms,Run_10_ms,Run_11_ms,Run_12_ms,Run_13_ms,Run_14_ms,Run_15_ms,Run_16_ms,Run_17_ms,Run_18_ms,Run_19_ms,Run_20_ms,Run_21_ms,Run_22_ms,Run_23_ms,Run_24_ms,Run_25_ms,Run_26_ms,Run_27_ms,Run_28_ms,Run_29_ms,Run_30_ms,Rata_rata_ms
"Pengembangan Geowisata Di Cianjur: Tinjauan Stabilitas Lereng, Air Bersih Dan Sanitasi Situs Gunung Padang Untuk Branding Destinasi",0.0025,0.0026,0.0023,0.0024,0.0027,0.0024,0.0023,0.0022,0.0024,0.0027,0.0026,0.0028,0.0024,0.0022,0.0019,0.0018,0.0023,0.0025,0.0025,0.0018,0.0018,0.002,0.0018,0.0018,0.0018,0.0018,0.0018,0.0018,0.0018,0.0017,0.00218
"Bakrie International Conference on Communication, Management, Politics & Accounting (BICOMPACT 2023) Theme:"" Advancing Sustainability: Strategic Approach for A Changing World """,0.0015,0.0014,0.0014,0.0014,0.0017,0.0014,0.0014,0.0015,0.0015,0.0015,0.0014,0.0014,0.0016,0.0014,0.0014,0.0015,0.0015,0.0015,0.0014,0.0015,0.0014,0.0014,0.0017,0.0017,0.002,0.0021,0.0019,0.0015,0.0015,0.0015,0.001533
Manajemen Optimalisasi Peran BUMN Republik Indonesia,0.0031,0.0031,0.0029,0.0028,0.0027,0.0028,0.0027,0.003,0.0029,0.003,0.0027,0.0026,0.0026,0.0027,0.0026,0.0027,0.0026,0.0027,0.0026,0.0028,0.0025,0.0026,0.0025,0.0026,0.0025,0.0025,0.0025,0.0025,0.0025,0.0026,0.002697
Bekatul (Rice Bran) sebagai Pilar Pangan Fungsional dan Nutrasetikal,0.0029,0.0028,0.0028,0.0027,0.0026,0.0027,0.0026,0.0026,0.0026,0.0026,0.0025,0.0024,0.0027,0.0025,0.0025,0.0025,0.0026,0.0025,0.0025,0.0025,0.0025,0.0025,0.0025,0.0028,0.0026,0.0026,0.0026,0.0025,0.0025,0.0025,0.00259
Kepemimpinan dan Identitas Positif: Penggerak Perubahan Organisasi untuk Agenda Keberlanjutan asdasdasd,0.0021,0.0021,0.0021,0.0019,0.002,0.002,0.002,0.0021,0.002,0.0019,0.002,0.002,0.002,0.002,0.0019,0.002,0.0019,0.002,0.0019,0.0019,0.002,0.002,0.002,0.0019,0.002,0.0019,0.002,0.002,0.0019,0.002,0.001983
"Pemanfaatan Sumber Daya Hayati dengan Penerapan Teknolog yang Berkelanjutan Sebagai Upaya Mencapai Zero Waste, Circular Economy dan Pengurangan Risiko Bencana",0.0019,0.0018,0.0016,0.0017,0.0018,0.0017,0.0016,0.0017,0.0016,0.0017,0.0016,0.0016,0.0016,0.0016,0.0016,0.0017,0.0016,0.0017,0.0016,0.0017,0.0017,0.0017,0.0017,0.0016,0.0017,0.0017,0.0017,0.0016,0.0016,0.0016,0.001667
Statistik Pertanian Organik Indonesia,0.0036,0.0033,0.0031,0.0031,0.0029,0.003,0.0028,0.0031,0.0028,0.0027,0.0028,0.003,0.0027,0.0027,0.0027,0.0026,0.0027,0.0027,0.0027,0.0026,0.0062,0.0027,0.0027,0.0027,0.0026,0.0026,0.0027,0.0028,0.0027,0.0026,0.00293
Dinamika Struktur dan Aplikasinya dengan Software Mathematica,0.0032,0.0032,0.0029,0.003,0.0027,0.0028,0.0026,0.0027,0.0027,0.0027,0.0026,0.0028,0.0026,0.0025,0.0025,0.0025,0.0026,0.0026,0.0026,0.0026,0.0026,0.0026,0.0025,0.0026,0.0025,0.0025,0.0026,0.0025,0.0026,0.0025,0.002663
TERMODINAMIKA TEKNIK DASAR-DASAR KONSERVASI ENERGI BAGIAN 1,0.0029,0.0028,0.0027,0.0027,0.0027,0.0027,0.0026,0.0026,0.0025,0.0026,0.0026,0.0025,0.0025,0.0026,0.0025,0.0025,0.0025,0.0024,0.0024,0.0025,0.0025,0.0024,0.0025,0.0025,0.0024,0.0025,0.0025,0.0025,0.0025,0.0024,0.00255
NYALA DUKUNGAN DARI INDONESIA UNTUK PALESTINA,0.0034,0.0032,0.0031,0.003,0.0029,0.0028,0.0031,0.003,0.0028,0.0028,0.0027,0.0029,0.0027,0.0027,0.0027,0.0027,0.0028,0.0028,0.0029,0.0029,0.0026,0.0027,0.0028,0.0029,0.0029,0.0028,0.0029,0.003,0.0028,0.0027,0.002867
