Judul yang Diuji,Run_01_ms,Run_02_ms,Run_03_ms,Run_04_ms,Run_05_ms,Run_06_ms,Run_07_ms,Run_08_ms,Run_09_ms,Run_10_ms,Run_11_ms,Run_12_ms,Run_13_ms,Run_14_ms,Run_15_ms,Run_16_ms,Run_17_ms,Run_18_ms,Run_19_ms,Run_20_ms,Run_21_ms,Run_22_ms,Run_23_ms,Run_24_ms,Run_25_ms,Run_26_ms,Run_27_ms,Run_28_ms,Run_29_ms,Run_30_ms,Rata_rata_ms
Don't Eat Your Heart Out Cookbook,0.0038,0.0023,0.0019,0.0018,0.0018,0.0018,0.0017,0.0016,0.0017,0.0017,0.0017,0.0016,0.0016,0.0017,0.0017,0.0016,0.0016,0.0016,0.0016,0.0016,0.0016,0.0017,0.0016,0.0016,0.0016,0.0016,0.0017,0.0016,0.0016,0.0017,0.001757
Journey Through Heartsongs,0.0026,0.0022,0.0021,0.002,0.002,0.002,0.0019,0.0019,0.002,0.0021,0.0019,0.002,0.0019,0.0021,0.002,0.002,0.0019,0.002,0.0019,0.0019,0.0019,0.002,0.002,0.0019,0.0019,0.0021,0.0019,0.0019,0.0019,0.0028,0.002023
In Search of Melancholy Baby,0.0029,0.0028,0.003,0.0027,0.0026,0.0028,0.0023,0.0027,0.0026,0.0029,0.0029,0.0028,0.0027,0.0123,0.0051,0.0033,0.0024,0.0029,0.0023,0.0023,0.0025,0.0024,0.0025,0.0025,0.0023,0.0024,0.0022,0.0023,0.0024,0.0025,0.00301
The Genesis of Ethics,0.0036,0.0035,0.0033,0.0032,0.0034,0.0033,0.0029,0.003,0.003,0.0029,0.0029,0.0031,0.0029,0.0027,0.003,0.0031,0.003,0.0029,0.0032,0.0029,0.0028,0.0032,0.0031,0.0026,0.0031,0.0031,0.0031,0.003,0.003,0.0032,0.003067
All over but the Shoutin',0.003,0.003,0.0031,0.0028,0.0028,0.0029,0.0029,0.0031,0.0029,0.0033,0.003,0.0028,0.003,0.0028,0.0025,0.0028,0.0032,0.0027,0.0029,0.0028,0.0025,0.0027,0.0029,0.0032,0.003,0.003,0.0024,0.0031,0.0028,0.0028,0.00289
Oilers and Sweepers and Other Stories,0.0019,0.0021,0.002,0.0024,0.0021,0.0022,0.0022,0.002,0.0021,0.002,0.0022,0.0021,0.0023,0.0024,0.0023,0.0022,0.0023,0.0023,0.0023,0.0024,0.0022,0.0021,0.0021,0.0022,0.0022,0.0021,0.0021,0.0021,0.0019,0.002,0.00216
The Emperor's New Mind,0.0037,0.0037,0.0036,0.0032,0.003,0.0033,0.0033,0.003,0.003,0.0033,0.003,0.0032,0.0028,0.0032,0.0032,0.0035,0.0032,0.003,0.0031,0.0029,0.0027,0.0028,0.0029,0.0028,0.0027,0.0029,0.003,0.0032,0.0031,0.0025,0.003093
Touching Fire: Erotic Writings by Women,0.0018,0.0019,0.0019,0.0018,0.0018,0.0018,0.002,0.0018,0.0019,0.0022,0.0019,0.002,0.0018,0.0019,0.0019,0.0018,0.0018,0.0019,0.0022,0.0021,0.0018,0.0021,0.0022,0.0021,0.0019,0.002,0.0019,0.0022,0.002,0.002,0.001947
Hill Rat: Blowing the Lid Off Congress,0.0021,0.0022,0.0022,0.002,0.002,0.0023,0.002,0.0019,0.0019,0.002,0.002,0.0021,0.0024,0.0022,0.0021,0.002,0.0019,0.002,0.0025,0.0022,0.0023,0.0022,0.0025,0.0023,0.0021,0.0022,0.0022,0.0021,0.0023,0.0019,0.002137
Personality of the Cat,0.0036,0.0039,0.0042,0.0036,0.0036,0.0034,0.003,0.003,0.0032,0.0028,0.0038,0.0038,0.0037,0.0036,0.0035,0.0028,0.0026,0.0027,0.003,0.0029,0.003,0.0026,0.0029,0.0029,0.0029,0.0029,0.0028,0.0027,0.0028,0.0028,0.003167
Best New American Voices 2003,0.0028,0.0024,0.0032,0.0027,0.0025,0.0031,0.0029,0.0032,0.0033,0.0031,0.0031,0.0028,0.0024,0.0023,0.0024,0.0024,0.0024,0.0024,0.0025,0.0028,0.0025,0.0024,0.0023,0.0022,0.0023,0.0026,0.0027,0.003,0.0024,0.0027,0.00266
Jackie by Josie: A Novel,0.0036,0.0033,0.0031,0.0038,0.0034,0.0032,0.0029,0.0032,0.0035,0.0036,0.0035,0.0036,0.0033,0.0036,0.0034,0.003,0.0028,0.0031,0.0033,0.0034,0.0031,0.0032,0.0036,0.0033,0.0034,0.0032,0.0036,0.0031,0.003,0.0034,0.003317
Majorca: Culture and Life,0.0037,0.0031,0.003,0.003,0.0031,0.0029,0.0028,0.0028,0.0031,0.0035,0.0028,0.0027,0.0028,0.0028,0.0025,0.0025,0.0029,0.0024,0.0026,0.0025,0.0029,0.0028,0.0025,0.0029,0.0026,0.0028,0.0026,0.0028,0.0028,0.0033,0.00285
The Universe of Galaxies,0.0033,0.0036,0.0031,0.003,0.003,0.0034,0.0033,0.0029,0.0035,0.0031,0.0034,0.0033,0.0032,0.0034,0.0031,0.0033,0.003,0.0033,0.0034,0.0028,0.0027,0.0034,0.0029,0.0029,0.0028,0.0026,0.0029,0.0027,0.003,0.0027,0.0031
Healing Benefits of Garlic,0.0031,0.0033,0.0035,0.0028,0.0035,0.003,0.0028,0.0029,0.0031,0.0032,0.0029,0.003,0.0033,0.0031,0.0035,0.0031,0.0028,0.0028,0.0033,0.0028,0.0028,0.0032,0.0028,0.003,0.0032,0.0032,0.0032,0.0026,0.0028,0.0027,0.003043
George Meany And His Times: A Biography,0.002,0.0021,0.0023,0.0023,0.0022,0.0018,0.0019,0.002,0.0021,0.0023,0.0023,0.0023,0.0022,0.0024,0.0022,0.0024,0.0022,0.0021,0.0019,0.0019,0.002,0.0019,0.0019,0.0022,0.0019,0.002,0.002,0.0018,0.0021,0.0019,0.002087
American Dreams: Lost & Found,0.0028,0.0027,0.0027,0.003,0.003,0.0028,0.0029,0.002,0.002,0.0018,0.0018,0.0018,0.0017,0.0017,0.0017,0.0018,0.0017,0.0017,0.0018,0.0017,0.0017,0.0017,0.0017,0.0018,0.0018,0.0017,0.0018,0.0017,0.0018,0.0017,0.002017
"Love, Love, and Love",0.0025,0.0023,0.0023,0.0022,0.0022,0.0023,0.0022,0.0023,0.0022,0.0023,0.0023,0.0023,0.0022,0.0023,0.0023,0.0022,0.0023,0.0024,0.0023,0.0023,0.0023,0.0024,0.0023,0.0022,0.0022,0.0022,0.0023,0.0022,0.0022,0.0022,0.002273
Henry VIII (English Monarchs Series),0.0017,0.0017,0.0016,0.0016,0.0015,0.0015,0.0015,0.0037,0.0015,0.0015,0.0015,0.0016,0.0015,0.0016,0.0015,0.0015,0.0015,0.0015,0.0016,0.0016,0.0015,0.0015,0.0015,0.0015,0.0021,0.002,0.0022,0.0021,0.0019,0.0018,0.00171
The Moral Intelligence of Children,0.0024,0.0021,0.0022,0.0021,0.0024,0.0021,0.0021,0.0028,0.0022,0.0022,0.0023,0.0022,0.0021,0.0024,0.0024,0.0022,0.002,0.0024,0.0022,0.0027,0.0025,0.0024,0.0021,0.0023,0.0022,0.0023,0.0026,0.0023,0.0018,0.0017,0.002257
Cook Healthy: Cook Quick,0.0027,0.0025,0.0023,0.0023,0.0024,0.0022,0.0022,0.0022,0.0024,0.0024,0.0023,0.0021,0.0022,0.0024,0.0023,0.0022,0.0021,0.0022,0.0021,0.0023,0.0021,0.0023,0.0021,0.0022,0.0022,0.0023,0.0023,0.0022,0.0021,0.0021,0.002257
Sunset at Rosalie: A Novel,0.0025,0.0024,0.0022,0.0021,0.0021,0.0022,0.0021,0.0021,0.0022,0.0022,0.0022,0.0022,0.0021,0.0021,0.0022,0.0022,0.0023,0.0027,0.0022,0.0022,0.0021,0.002,0.0021,0.0022,0.0022,0.0021,0.0021,0.0021,0.002,0.0021,0.002183
Proverbs For The People,0.0037,0.0024,0.0023,0.0023,0.0022,0.0023,0.002,0.0021,0.0021,0.0022,0.0023,0.0021,0.0021,0.0022,0.0021,0.0023,0.0022,0.0021,0.0022,0.0021,0.0023,0.0022,0.0022,0.002,0.0021,0.0021,0.0022,0.0021,0.0021,0.0021,0.002223
Great American Countryside,0.0024,0.0023,0.0023,0.0022,0.0022,0.0021,0.0021,0.002,0.002,0.0019,0.0022,0.0021,0.0022,0.0021,0.002,0.002,0.002,0.0019,0.002,0.0021,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.0021,0.0021,0.002077
Rob Whitlock: A Pioneer Boy in Old Ohio,0.0016,0.0015,0.0015,0.0015,0.0014,0.0016,0.0015,0.0014,0.0015,0.0015,0.0015,0.0014,0.0014,0.0015,0.0014,0.0014,0.0014,0.0015,0.0014,0.0015,0.0015,0.0015,0.0015,0.0015,0.0014,0.0014,0.0015,0.0015,0.0015,0.0015,0.001473
