Judul yang Diuji,Run_01_ms,Run_02_ms,Run_03_ms,Run_04_ms,Run_05_ms,Run_06_ms,Run_07_ms,Run_08_ms,Run_09_ms,Run_10_ms,Run_11_ms,Run_12_ms,Run_13_ms,Run_14_ms,Run_15_ms,Run_16_ms,Run_17_ms,Run_18_ms,Run_19_ms,Run_20_ms,Run_21_ms,Run_22_ms,Run_23_ms,Run_24_ms,Run_25_ms,Run_26_ms,Run_27_ms,Run_28_ms,Run_29_ms,Run_30_ms,Rata_rata_ms
Don't Eat Your Heart Out Cookbook,4.0081,4.534,10.3649,3.9959,4.7882,4.0305,3.6412,3.4549,3.8705,3.7924,3.5021,3.4701,3.574,4.344,3.7048,3.5186,3.5628,7.6161,7.3194,5.7317,3.6423,3.5948,3.6088,3.651,3.5325,3.4759,3.4516,3.5043,3.5781,3.6772,4.28469
Journey Through Heartsongs,6.1483,5.1085,4.7475,6.1685,5.1767,4.753,5.4604,4.9218,4.6587,5.6227,5.6297,5.7593,5.8552,5.1021,4.8298,4.7887,4.8196,4.7695,5.403,6.0945,6.3591,6.2928,4.6488,5.0313,6.8191,5.5253,5.0508,4.9844,5.3432,4.6423,5.350487
In Search of Melancholy Baby,2.4602,3.0066,3.2476,3.4294,2.3984,2.6948,2.1701,2.1349,2.1423,2.8701,2.5929,2.2315,2.2879,2.3356,2.1383,2.2056,2.2577,2.167,2.1352,2.1983,2.1422,2.1124,2.0883,2.2833,2.1282,2.0931,2.1276,2.1869,2.1195,2.102,2.349597
The Genesis of Ethics,5.8112,2.7427,2.7652,2.8075,2.7762,2.7629,2.9359,3.5884,3.4691,3.94,4.3351,3.4405,3.3513,5.0764,2.8036,3.1484,4.0588,2.8169,2.7964,2.779,2.8455,2.7917,2.8745,2.7794,2.8047,2.7959,2.9021,2.9547,3.469,2.8017,3.240823
All over but the Shoutin',3.0808,3.0989,3.007,2.9489,2.91,2.9886,3.0468,3.6438,2.9952,2.9651,2.9653,3.0005,3.3276,3.4584,4.0428,3.0607,3.2418,4.4956,4.3326,3.759,3.6504,4.1386,4.3943,3.5821,3.7504,3.97,3.9549,4.2625,3.8589,4.187,3.537283
Oilers and Sweepers and Other Stories,3.6602,5.8998,3.332,3.3479,3.6274,6.1739,3.2691,3.2641,3.3426,3.2531,3.2603,3.2548,3.2573,8.0138,3.2914,3.266,11.0588,8.7749,4.6997,3.3764,3.4557,7.8734,6.3926,3.4324,4.39,3.7753,3.3728,3.4266,4.731,3.6552,4.53095
The Emperor's New Mind,2.4045,2.3674,4.803,4.0834,2.803,2.3406,3.182,10.5709,5.2053,4.9746,3.3092,2.454,2.358,2.849,3.4122,2.4369,2.3958,2.5857,2.7727,2.4565,2.4049,2.3923,2.3989,2.3605,2.3762,3.0225,2.6063,2.3992,2.3682,2.394,3.14959
Touching Fire: Erotic Writings by Women,3.4799,2.4516,3.0952,2.4083,2.4075,2.406,2.4526,2.4133,2.4193,2.3957,2.3926,2.4361,2.4425,3.0416,6.5569,2.7179,2.4142,2.588,2.4802,2.4111,2.399,2.8045,2.8754,2.5754,2.4291,3.2036,3.2231,2.4982,2.4832,6.1833,2.86951
Hill Rat: Blowing the Lid Off Congress,3.9028,4.3491,3.9537,3.983,4.0671,4.0646,5.0519,8.3826,5.5598,3.8271,3.7492,4.5888,3.8552,3.72,3.7198,3.902,3.9507,4.1228,7.2238,5.3253,3.7988,3.9314,4.4354,4.4496,3.9641,4.1183,4.6561,4.2121,4.1137,6.3932,4.5124
Personality of the Cat,0.7827,0.7284,0.7022,0.8413,0.5846,0.5742,0.5751,0.571,0.5726,0.571,0.5723,0.5734,0.7815,0.7268,0.676,0.6847,0.5903,0.571,0.5759,0.5697,0.5702,0.5726,0.5672,0.5658,0.5709,0.6757,0.5778,0.6555,0.8147,0.7484,0.638117
Best New American Voices 2003,1.4124,1.3606,2.6263,1.865,1.4959,1.3948,1.3608,1.5546,1.4437,1.429,1.3827,1.3598,3.9617,2.2782,1.3601,1.3753,1.3775,1.374,1.3904,1.4307,1.4941,1.4971,1.5988,1.6666,1.4226,1.3501,1.3427,1.4325,1.3507,1.3497,1.59128
Jackie by Josie: A Novel,2.6817,2.6162,2.6107,2.6864,2.687,4.1453,3.1955,3.2498,3.1534,3.8106,2.8842,2.9915,3.3117,4.1452,4.4974,4.6175,3.6622,3.3268,3.0433,3.7829,3.2724,3.2991,2.9176,3.1971,2.8786,2.9883,2.9104,3.0683,3.3997,3.3149,3.27819
Majorca: Culture and Life,2.6857,2.5023,3.3539,2.5485,3.2715,4.0352,3.6368,4.368,2.7792,3.9674,4.9864,2.6781,2.7063,2.7474,2.9928,3.8712,3.9756,3.6395,3.0492,2.7731,3.0739,2.8468,3.4305,2.7189,2.9649,2.7166,3.3342,3.0844,3.2692,2.7951,3.226753
The Universe of Galaxies,5.5834,4.5928,4.9828,4.459,4.1976,4.248,4.6109,4.8979,4.7987,7.6529,5.3754,3.7999,5.0684,5.2619,4.8967,4.906,4.2272,4.1181,4.2499,4.2753,4.0042,3.9864,3.8971,4.3002,4.0937,3.9223,5.2026,5.1526,4.491,3.9444,4.63991
Healing Benefits of Garlic,3.5407,3.8391,3.6796,3.4911,3.6202,3.3685,4.3373,3.7295,3.4684,3.5696,3.4703,4.9659,4.6289,4.6474,3.9047,4.0487,3.8447,5.614,3.5421,3.8099,3.8138,3.7775,5.0283,3.3803,3.4,3.7767,3.8428,4.0419,4.0746,3.3056,3.918737
George Meany And His Times: A Biography,4.7106,4.1222,20.4722,5.9305,4.4441,6.6206,12.0499,4.4409,5.1611,7.9148,5.9904,7.5384,7.2824,4.8715,3.7574,11.4244,6.3599,12.1579,8.8369,6.7404,6.5527,10.8453,6.0398,7.5483,7.7254,4.7494,5.2636,13.9955,13.8262,7.8606,7.84111
American Dreams: Lost & Found,3.2364,2.6432,3.2444,2.6452,2.6004,2.4493,2.5298,2.4098,2.9015,3.4541,3.2072,2.9719,4.2274,4.8687,5.7346,2.4916,2.7504,3.4334,3.8279,2.7182,3.1407,2.5845,3.7623,4.1036,3.4284,3.0177,4.9574,4.6601,4.9447,3.2566,3.406713
"Love, Love, and Love",4.0356,4.7895,4.009,4.0486,3.3933,4.1606,3.3262,3.8505,3.6522,2.998,3.3463,3.124,3.0085,2.854,3.0052,2.7623,4.1315,3.1425,2.8351,2.9611,2.9897,7.4621,3.5064,3.5814,3.4351,3.1698,3.1557,3.5142,2.7637,3.7741,3.55954
Henry VIII (English Monarchs Series),6.616,4.0675,4.5897,4.3491,4.2375,4.1103,4.4985,4.0339,16.8256,7.1678,4.4208,4.1436,4.7945,3.9485,3.9769,4.2568,3.8838,3.8816,4.0989,4.2423,4.0992,4.0711,3.6349,4.6374,4.9094,3.7381,3.5874,4.1808,3.6002,3.8427,4.74816
The Moral Intelligence of Children,8.4291,4.2879,5.8149,5.5729,5.5993,5.1626,5.7498,4.4066,5.63,4.2384,3.9889,3.985,4.9918,4.7228,3.746,4.2599,4.1355,3.8709,3.8014,4.1388,3.6615,3.8463,3.7462,4.2208,4.6967,4.7468,4.1165,5.9541,4.5718,4.5418,4.687833
Cook Healthy: Cook Quick,2.264,2.3703,2.7933,3.1904,3.8217,3.6629,2.8258,2.5091,2.1587,2.3766,2.7631,2.25,2.9732,2.2336,2.2404,2.8625,2.2975,2.4033,2.1588,2.1093,2.3516,2.1452,2.6193,2.2358,2.1294,2.5729,4.3645,3.0058,2.8854,2.5942,2.638953
