Judul yang Diuji,Run_01_ms,Run_02_ms,Run_03_ms,Run_04_ms,Run_05_ms,Run_06_ms,Run_07_ms,Run_08_ms,Run_09_ms,Run_10_ms,Run_11_ms,Run_12_ms,Run_13_ms,Run_14_ms,Run_15_ms,Run_16_ms,Run_17_ms,Run_18_ms,Run_19_ms,Run_20_ms,Run_21_ms,Run_22_ms,Run_23_ms,Run_24_ms,Run_25_ms,Run_26_ms,Run_27_ms,Run_28_ms,Run_29_ms,Run_30_ms,Rata_rata_ms
Don't Eat Your Heart Out Cookbook,3.4576,2.0035,2.3964,3.7435,6.8425,4.7533,3.337,3.4182,3.3593,2.7324,2.5954,2.6291,2.6011,2.6422,1.8803,2.6876,2.4959,2.7561,1.884,2.1502,2.3506,1.7521,1.656,1.9878,1.7172,1.9201,1.6315,1.5893,1.6882,1.8765,2.61783
Journey Through Heartsongs,2.0629,2.0286,2.1958,2.0647,2.3915,2.0243,2.0577,2.2907,2.0206,2.4052,2.0138,2.1386,2.913,2.3339,2.4198,2.3322,3.05,2.4422,2.7322,2.5804,2.9544,2.7341,2.365,2.3034,2.3209,2.0911,2.0926,2.9416,2.5727,2.4471,2.377367
In Search of Melancholy Baby,1.0714,0.8732,1.1345,0.9523,0.9249,0.9325,0.8527,1.1845,0.9516,0.9449,1.0744,1.3527,0.9344,1.3418,0.9322,0.9336,0.9324,0.941,1.0022,1.0267,0.8585,0.853,0.9066,0.8693,0.8741,0.9402,1.0522,1.0845,1.0067,1.1434,0.99608
The Genesis of Ethics,1.3114,1.2071,1.2771,1.2403,1.4528,1.2679,1.232,1.2552,1.4787,1.4375,1.4142,1.247,1.2632,1.3871,1.3614,1.5162,1.5273,1.392,1.3761,2.5153,1.2368,1.3674,2.2089,2.4448,1.2541,1.2044,1.1974,1.2043,1.2019,1.4911,1.432363
All over but the Shoutin',1.3289,1.333,1.6642,2.2584,2.1915,2.2165,1.5336,1.7021,2.1687,1.4606,1.4166,1.3726,1.4505,1.6049,1.3871,1.4414,1.4432,1.6136,2.1122,1.6266,1.636,1.4998,1.36,1.3684,1.9572,1.5844,1.3455,1.592,1.6944,1.3524,1.623877
Oilers and Sweepers and Other Stories,1.5321,1.5121,1.4577,1.4403,1.5611,1.4626,1.6494,2.3072,1.6547,1.5098,1.4206,1.4735,2.3008,1.9629,1.4558,1.6093,1.4366,1.4173,1.4074,1.595,1.4555,1.4628,1.4241,1.5505,1.4391,1.4007,1.8526,1.741,1.8298,1.6309,1.59844
The Emperor's New Mind,1.1422,0.9636,0.9648,0.9561,0.9889,0.987,1.1264,1.0611,0.965,0.9591,0.9513,0.9553,1.112,0.9631,0.9685,0.9554,0.9592,0.9488,0.9992,1.3706,1.2914,1.1405,1.2266,1.4495,1.6193,1.5243,1.4097,1.1304,0.9666,0.9694,1.100843
Touching Fire: Erotic Writings by Women,1.0397,1.0848,1.1467,1.0459,1.199,0.9869,1.139,1.2008,1.0535,1.0425,1.0885,1.0281,1.0331,1.1728,1.0329,1.0303,1.0349,1.0306,1.2615,1.0676,1.0455,1.0313,1.0295,1.0338,1.0632,1.0296,1.022,1.0304,1.0295,1.0253,1.06864
Hill Rat: Blowing the Lid Off Congress,1.7836,1.5383,1.6822,2.8597,2.2702,1.546,1.5303,1.5466,1.7178,1.6517,1.5424,1.5411,1.6225,1.923,1.5518,1.5801,1.7812,1.629,3.5772,2.187,1.592,2.271,1.7256,1.5465,1.5206,1.8943,1.6182,1.6033,1.6784,1.568,1.802653
Personality of the Cat,0.456,0.2822,0.2764,0.3403,0.2791,0.2743,0.3928,0.2882,0.2676,0.2653,0.2623,0.2651,0.2951,0.2782,0.2721,0.2639,0.2614,0.2648,0.2682,0.267,0.2626,0.2621,0.2639,0.2661,0.2648,0.2633,0.2662,0.2637,0.2635,0.6256,0.29407
Best New American Voices 2003,0.7871,0.649,0.6482,0.6813,0.6543,0.8124,0.7436,0.6382,0.6424,0.8643,0.6495,0.9944,1.3393,1.1805,1.1771,0.9865,0.7744,0.8218,0.8024,0.7724,0.7506,0.6705,0.7005,0.6791,0.6683,0.6789,0.6848,0.6709,0.8446,0.8605,0.79426
Jackie by Josie: A Novel,1.0514,1.041,1.042,1.0381,1.1653,1.7053,1.4945,1.0763,1.0884,1.3617,1.5838,1.1034,1.0952,1.0934,1.1624,1.5282,1.5859,1.6147,1.5405,1.6271,1.7052,1.3468,1.5636,1.4045,1.1001,1.0868,1.0917,1.6258,1.4322,1.2468,1.32007
Majorca: Culture and Life,1.0789,0.9449,0.9409,0.9676,0.9372,0.9334,1.1486,0.9471,1.0554,0.9392,1.0985,0.9341,1.1788,0.9561,0.9481,0.9261,0.9694,0.9363,1.0303,1.0049,1.1212,1.0329,0.8969,0.8852,0.908,1.645,1.5434,1.3793,1.4678,0.9707,1.05754
