Judul yang Diuji,Run_01_ms,Run_02_ms,Run_03_ms,Run_04_ms,Run_05_ms,Run_06_ms,Run_07_ms,Run_08_ms,Run_09_ms,Run_10_ms,Run_11_ms,Run_12_ms,Run_13_ms,Run_14_ms,Run_15_ms,Run_16_ms,Run_17_ms,Run_18_ms,Run_19_ms,Run_20_ms,Run_21_ms,Run_22_ms,Run_23_ms,Run_24_ms,Run_25_ms,Run_26_ms,Run_27_ms,Run_28_ms,Run_29_ms,Run_30_ms,Rata_rata_ms
Don't Eat Your Heart Out Cookbook,2.5457,2.9779,3.0132,3.8232,2.5258,2.2688,2.6619,2.8996,2.7643,4.5121,2.5188,2.1541,2.1841,2.3192,3.2064,3.2162,2.2241,2.3606,2.8556,3.3444,2.1912,2.4661,2.5529,2.1624,2.2575,2.2076,2.6488,3.3154,4.2747,3.0682,2.784027
Journey Through Heartsongs,3.5459,4.1266,3.8582,3.4744,3.0286,2.7323,2.9523,4.5389,4.5759,4.5152,4.4773,3.971,4.1134,3.9121,3.8681,3.6228,2.7693,3.6313,4.5542,4.6151,3.6166,3.5749,2.7512,2.9297,3.0961,3.3668,3.5793,3.4167,2.7636,4.1757,3.671783
In Search of Melancholy Baby,1.5008,1.2883,1.4656,2.1551,1.4542,1.2746,1.4447,1.7734,1.735,2.1634,2.0402,1.6278,1.3669,1.2782,1.2603,1.5675,1.2951,1.2866,2.1215,1.4012,1.5047,2.1248,1.7859,1.9949,2.0267,2.1076,1.9602,2.1866,2.0779,2.041,1.710357
The Genesis of Ethics,2.5545,2.0495,1.8653,2.9198,2.9114,2.8717,2.7577,2.8982,2.8773,2.2361,2.0617,1.8158,2.7934,3.0466,2.522,1.8094,1.7511,2.4768,2.8145,3.0208,2.943,2.8597,1.8795,1.7611,2.1341,2.7747,2.3549,2.8239,2.8209,2.2131,2.487283
All over but the Shoutin',2.7475,1.9218,2.2153,1.9725,1.8927,2.2899,1.9521,1.8839,2.2385,3.0394,3.0585,2.5168,2.4099,3.1305,2.1318,2.513,1.8984,1.873,2.5384,3.0063,3.2858,3.1738,2.676,1.9095,1.886,2.5364,2.398,2.9933,2.0606,1.9017,2.40171
Oilers and Sweepers and Other Stories,2.083,1.966,2.7489,2.0678,2.2454,2.0652,2.0575,2.5166,3.4315,2.3508,2.0783,2.057,2.187,2.0657,2.4233,2.5548,2.926,2.1849,2.0634,2.0697,2.1231,3.5625,2.9111,3.1885,3.4083,3.1768,2.7927,2.2515,2.5442,3.2591,2.51202
The Emperor's New Mind,2.3008,1.9661,2.2413,2.2513,2.1788,1.7175,2.0542,1.8443,1.848,1.5861,2.1056,2.026,1.6032,1.4097,1.3659,1.5409,1.8626,2.0327,1.6456,2.394,1.5472,1.381,2.0113,2.2944,2.1832,2.1274,2.2794,1.9616,1.5001,1.3737,1.887797
Touching Fire: Erotic Writings by Women,1.9643,1.8734,2.0742,2.2585,1.9474,1.5757,1.7471,1.7313,1.5243,1.5182,1.7295,1.8038,1.6358,1.9302,1.6717,1.5766,1.5456,1.7184,1.6919,1.5613,1.5324,1.554,1.8185,1.5801,1.5237,1.7916,1.5706,1.5731,1.6633,1.5685,1.7085
Hill Rat: Blowing the Lid Off Congress,2.5814,6.2887,2.2821,2.3412,4.2186,3.5565,2.695,2.4653,5.2706,6.8202,2.3493,2.1882,4.2184,4.5831,3.6811,3.4761,3.5279,2.566,2.3026,2.7536,2.2892,3.0303,2.6636,3.2671,3.5095,3.688,3.739,3.7811,3.2324,2.7637,3.404327
Personality of the Cat,0.3876,0.3748,0.3834,0.5401,0.4389,0.6705,0.643,0.6396,0.6284,0.6404,0.6427,0.6402,0.6467,0.5433,0.3895,0.7711,0.6514,0.6413,0.6396,0.6361,0.6438,0.6395,0.6922,0.7095,0.6483,0.6399,0.6452,0.6319,0.6539,0.6333,0.60287
Best New American Voices 2003,1.4769,1.5519,2.3231,1.0504,1.03,1.351,1.2047,1.1488,1.4155,1.4658,1.4671,1.4633,1.5504,1.7492,1.5593,1.5536,1.3937,1.5749,1.5837,1.6089,1.0921,4.4446,1.1677,0.977,0.9662,0.9746,1.0149,1.0083,1.2344,0.9979,1.446663
Jackie by Josie: A Novel,1.6985,2.2836,2.5667,2.2818,2.4946,2.6136,2.4347,2.6293,2.3771,3.0978,4.2448,5.4734,2.6774,3.0358,2.6043,2.5719,2.758,2.7085,2.5242,2.448,2.6244,2.6717,2.5578,2.4527,2.8271,7.8032,1.7008,1.6366,1.9366,3.089,2.827463
Majorca: Culture and Life,1.7046,1.3505,1.3567,2.0758,2.1708,2.342,2.6533,2.2771,1.8696,1.4493,1.8289,1.3644,1.8256,2.2937,1.4528,1.5952,2.3018,2.2617,2.1782,2.1606,2.1859,2.1354,1.8433,2.2988,2.1968,1.509,1.3906,1.6423,1.509,1.3923,1.8872
The Universe of Galaxies,3.6,3.1115,2.1774,3.5264,2.8322,2.3529,3.423,2.1755,2.5209,2.1621,2.4918,2.1876,2.1821,2.5233,2.1767,2.2666,3.752,2.3005,3.6306,3.3963,2.5736,2.0431,3.5907,3.4434,3.5445,3.0768,3.4042,2.7122,6.8288,3.4367,2.981447
Healing Benefits of Garlic,1.7904,2.0142,3.3391,3.0689,4.8753,2.6663,2.3654,2.1128,3.0407,2.9965,2.9738,2.595,2.507,1.8218,1.822,1.8127,1.8087,1.8067,3.0348,3.0109,2.3381,2.3098,3.1678,2.2095,2.1749,2.26,1.8037,1.8056,2.3458,1.8306,2.45696
George Meany And His Times: A Biography,3.7086,4.3053,3.781,3.5951,4.1234,3.3063,2.6986,2.3977,2.598,2.9309,2.3366,3.5977,3.7523,3.7839,3.2536,3.0552,2.4707,3.4629,2.9925,2.6228,2.7448,3.7557,2.9659,2.6216,2.6214,2.8836,3.9286,3.8672,3.4487,3.8967,3.250243
American Dreams: Lost & Found,1.599,1.6732,2.6345,2.7461,2.6244,2.7489,2.408,2.4063,2.2969,2.4104,1.7319,1.4766,2.1053,2.5357,2.3469,2.4944,2.5202,2.0323,2.1215,1.7471,2.2884,2.3335,2.3105,3.9118,1.4855,2.3021,2.3778,2.3372,1.5743,1.4702,2.23503
"Love, Love, and Love",2.1899,1.5287,1.4673,1.5013,1.809,1.4587,1.4455,1.5408,2.4354,2.5287,2.172,1.5729,1.4632,1.4555,1.8068,2.2129,2.4438,2.2227,1.762,2.566,2.4309,2.4896,2.1725,1.4666,1.4514,1.8333,2.3573,2.4404,2.3325,2.332,1.962987
Henry VIII (English Monarchs Series),5.6219,2.1892,2.268,2.5279,2.2044,2.1261,2.496,2.794,2.6152,2.1557,2.01,2.8228,3.1136,2.9526,3.4004,2.4512,2.0236,2.2796,2.2556,2.019,2.6259,3.3663,3.2351,3.3521,2.6712,2.5541,3.4138,3.3082,3.4483,2.9782,2.776
